08:09:12:  Box_3__BTCR-1100200400210044_20200818095145.log - DRB.tat* - TextAnalysisTool.NET
13:24:52:  Welcome to J-Flash
13:24:57:  Error
13:25:02:  Welcome to J-Flash
13:25:07:  Everything
13:25:12:  mke06. - Everything
13:25:17:  mke06.j - Everything
13:25:42:  桌面整理
13:25:47:  Welcome to J-Flash
13:25:52:  Open J-Flash project file
13:25:57:  SEGGER J-Flash V6.32h - [C:\Users\zhangkaifa\Desktop\MKE06.jflash]
13:26:02:  J-Flash V6.32h
13:26:07:  SEGGER J-Flash V6.32h - [C:\Users\zhangkaifa\Desktop\MKE06.jflash]
13:26:12:  桌面整理
13:26:17:  Save data file as
13:26:27:  SEGGER J-Flash V6.32h - [C:\Users\zhangkaifa\Desktop\MKE06.jflash *]
13:28:22:  J-Flash V6.32h Error
13:28:27:  SEGGER J-Flash V6.32h - [C:\Users\zhangkaifa\Desktop\MKE06.jflash *]
13:28:42:   J-Flash
13:28:47:  Save data file as
13:28:57:  运行
13:29:02:  桌面整理
13:29:07:  「开始」菜单
13:29:32:  HxD
13:29:37:  打开
13:29:52:  HxD
13:28:22:  J-Flash V6.32h Error
13:28:27:  SEGGER J-Flash V6.32h - [C:\Users\zhangkaifa\Desktop\MKE06.jflash *]
13:28:42:   J-Flash
13:28:47:  Save data file as
13:28:57:  运行
13:29:02:  桌面整理
13:29:07:  「开始」菜单
13:29:32:  HxD
13:29:37:  打开
13:29:52:  HxD
13:34:37:  「开始」菜单
13:34:47:  远程桌面连接
13:35:02:  Windows 安全
13:35:07:  远程桌面连接
13:35:12:  yf-yanxiaojun - 远程桌面连接
13:35:32:  桌面整理
13:35:52:  HxD
13:35:57:  打开
13:36:12:  HxD
13:37:02:  打开
13:37:22:  HxD
13:40:42:  TCR调测工具 V3.36
13:43:12:  BTCRTestTool
13:43:22:  V1.003
13:43:27:  TCR调测工具 V3.36
13:43:52:  荆文波
13:44:02:  TCR调测工具 V3.36
13:44:37:  HxD
13:44:37:  HxD
13:46:02:  打开
13:46:17:  HxD
13:47:07:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
13:47:17:  D:\00-06\1T1-Stop-Length\trunk\Applications\PlateCtrl\PlateCtrl.c (1T1-Stop-Length) - Sublime Text (UNREGISTERED)
13:47:22:  D:\00-06\1T1-Stop-Length\trunk\Applications\MemoryConfig.h (1T1-Stop-Length) - Sublime Text (UNREGISTERED)
13:47:47:  HxD
13:48:27:  D:\00-06\1T1-Stop-Length\trunk\Applications\MemoryConfig.h (1T1-Stop-Length) - Sublime Text (UNREGISTERED)
13:48:37:  计算器
13:49:12:  HxD
13:50:12:  D:\00-06\DRB-MOSTNEW\Applications\Instruction\InstrExecute.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
13:52:22:  D:\00-06\DRB-MOSTNEW\Applications\Instruction\InstrHandle.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
13:52:42:  HxD
13:52:52:  SEGGER J-Flash V6.32h - [C:\Users\zhangkaifa\Desktop\MKE06.jflash *]
13:53:02:  HxD
13:53:22:  D:\00-06\DRB-MOSTNEW\Applications\Instruction\InstrHandle.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
13:53:57:  D:\00-06\DRB-MOSTNEW\Middlewares\Sensor\Sensor.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
13:54:12:  D:\00-06\DRB-MOSTNEW\Drivers\SensorDriver\SensorDriver.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
13:54:17:  D:\00-06\DRB-MOSTNEW\Middlewares\Sensor\Sensor.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
13:54:22:  D:\00-06\DRB-MOSTNEW\Middlewares\Sensor\Sensor.c • (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
13:54:27:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
13:55:02:  HxD
13:55:07:  D:\00-06\1T1-Stop-Length\trunk\Applications\MemoryConfig.h (1T1-Stop-Length) - Sublime Text (UNREGISTERED)
13:55:12:  D:\00-06\1T1-Stop-Length\trunk\Applications\Update\Update.c (1T1-Stop-Length) - Sublime Text (UNREGISTERED)
13:55:57:  HxD
13:56:17:  计算器
13:56:52:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
13:57:07:  D:\00-06\DRB-MOSTNEW\Middlewares\Sensor\Sensor.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
13:57:17:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
13:57:27:  DRB-MOSTNEW
13:57:32:  D:\00-06\DRB-MOSTNEW\Tools\CreateJK.exe
13:57:37:  未命名 - 写邮件
13:57:43:  BTCR-1100_BOX1T2_KE06_FV1001_EXTFEDU6V11_MAIN_T99 - 写邮件
13:57:48:  荆文波
13:58:03:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
13:58:08:  D:\00-06\DRB-MOSTNEW\Middlewares\Sensor\Sensor.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
13:58:23:  SEGGER J-Flash V6.32h - [C:\Users\zhangkaifa\Desktop\MKE06.jflash *]
13:58:28:  HxD
13:58:08:  D:\00-06\DRB-MOSTNEW\Middlewares\Sensor\Sensor.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
13:58:23:  SEGGER J-Flash V6.32h - [C:\Users\zhangkaifa\Desktop\MKE06.jflash *]
13:58:28:  HxD
14:03:03:  yf-yanxiaojun - 远程桌面连接
14:03:08:  HxD
14:03:13:  桌面整理
14:03:18:  HxD
14:03:23:  打开
14:03:58:  Compare
14:04:03:  打开
14:04:08:  HxD
14:12:53:  J-Flash V6.32h
14:12:58:  开始
14:13:13:  eSpace
14:13:18:  荆文波
14:14:53:  Box_2__BTCR-1100190803000001_20200709150714.log - DRB.tat - TextAnalysisTool.NET
14:14:53:  Box_2__BTCR-1100190803000001_20200709150714.log - DRB.tat - TextAnalysisTool.NET
14:15:23:  alipay_record_20200810_0855
14:15:28:  TCR调测工具 V3.36
14:15:33:  BTCRTestTool 属性
14:15:38:  BTCRTestTool V3.36
14:15:43:  BTCRTestTool V3.36 - 写邮件
14:15:53:  BTCRTestTool V3.36
14:21:33:  本地磁盘 (D:)
14:21:43:  SECSplashWnd
14:21:48:  荆文波
14:22:08:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
14:22:23:  跳转列表
14:22:28:  D:\00-06\DRB-MOSTNEW\Middlewares\Sensor\Sensor.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
14:22:38:  KE06LOG.bat - 快捷方式 (2)
14:22:53:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101422.log
14:23:08:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
14:23:13:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101422.log
14:23:18:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
14:23:23:  荆文波
14:23:58:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
14:24:08:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101422.log
14:24:23:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
14:25:23:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101422.log
14:25:48:  Toolbox
14:25:53:  KE06LOG.bat - 快捷方式 (2)
14:26:08:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101425.log
14:26:28:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
14:27:28:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101425.log
14:27:38:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
14:27:48:  锁屏状态
14:27:53:  D:\00-06\DRB-MOSTNEW\Middlewares\Sensor\Sensor.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
14:28:03:  D:\00-06\DRB-MOSTNEW\Middlewares\Sensor\Sensor.c • (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
14:28:08:  D:\00-06\DRB-MOSTNEW\Middlewares\Sensor\Sensor.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
14:28:18:  荆文波
14:28:23:  D:\00-06\DRB-MOSTNEW\Middlewares\Sensor\Sensor.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
14:28:53:  μVision
14:28:58:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
14:29:53:  KE06LOG.bat - 快捷方式 (2)
14:29:58:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101425.log
14:28:08:  D:\00-06\DRB-MOSTNEW\Middlewares\Sensor\Sensor.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
14:28:18:  荆文波
14:28:23:  D:\00-06\DRB-MOSTNEW\Middlewares\Sensor\Sensor.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
14:28:53:  μVision
14:28:58:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
14:29:53:  KE06LOG.bat - 快捷方式 (2)
14:29:58:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101425.log
14:30:08:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
14:30:28:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101429.log
14:30:38:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
14:30:53:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101429.log
14:31:23:  D:\00-06\DRB-MOSTNEW\Middlewares\Sensor\Sensor.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
14:31:33:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
14:31:58:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101429.log
14:32:13:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
14:33:48:  KE06LOG.bat - 快捷方式 (2)
14:33:58:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101433.log
14:34:23:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
14:34:33:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101433.log
14:34:38:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
14:34:43:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101433.log
14:35:23:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
14:39:53:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101433.log
14:42:28:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
14:42:38:  eSpace
14:42:43:  荆文波
14:43:48:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
14:47:43:  Toolbox
14:47:48:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
14:48:48:  Toolbox
14:48:53:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
14:53:38:  KE06LOG.bat - 快捷方式 (2)
14:53:43:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
14:53:53:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101453.log
14:54:13:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
15:02:43:  06 固件日报
15:02:48:  从控制板集成测试方案-报告
15:02:53:  5.1 BOOTLOADER测试-KE18V1.0.xls  [受保护的视图] - Excel
15:02:58:  从控制板集成测试方案-报告
15:03:03:  5.1 BOOTLOADER测试-KE18V1.0.xls  [受保护的视图] - Excel
15:03:08:  锁屏状态
15:03:13:  5.18 传感器测试v1.0.xls  [受保护的视图] - Excel
15:04:03:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
15:07:43:  μVision
15:07:48:  JLink - Cortex-M Error
15:08:03:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
15:12:03:  从控制板集成测试方案-报告
15:12:08:  00-06
15:12:13:  钞箱1T2集成测试方案
15:12:18:  正在打开 - 
15:12:23:  Microsoft Visual Studio Team System 2008 Team Suite - CHS
15:12:28:  5.12 直流电机测试.pptx - PowerPoint
15:16:38:  钞箱1T2集成测试方案
15:16:43:  5.18 传感器测试v1.0.xls  [受保护的视图] - Excel
15:16:48:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101453.log
15:17:58:  20180613 TCR内部指令手册_V001.xlsx - Excel
15:18:03:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
15:18:08:  锁屏状态
15:18:13:  本地磁盘 (D:)
15:18:18:  本地磁盘 (E:)
15:18:23:  1T1
15:18:28:  PlateCtrl.c - TortoiseMerge
15:18:48:  TrackCtrl.c - TortoiseMerge
15:19:18:  E:\深圳出差\1T1 - 提交 - TortoiseSVN
15:19:23:  E:\深圳出差\1T1 - 日志信息 - TortoiseSVN
15:19:33:  E:\深圳出差\1T1 - 提交 - TortoiseSVN
15:19:38:  E:\深圳出差\1T1 - 日志信息 - TortoiseSVN
15:19:43:  E:\深圳出差\1T1 - 提交 - TortoiseSVN
15:20:03:  milestone.txt - 记事本
15:20:43:  E:\深圳出差\1T1 - 提交 - TortoiseSVN
15:20:48:  提交 失败！
15:20:58:  1T1
15:21:03:  TortoiseSVN
15:21:08:  E:\深圳出差\1T1 - 提交 - TortoiseSVN
15:21:18:  Update.c - TortoiseMerge
15:21:23:  milestone.txt - TortoiseMerge
15:21:28:  E:\深圳出差\1T1 - 提交 - TortoiseSVN
15:21:33:  milestone.txt - TortoiseMerge
15:21:53:  E:\深圳出差\1T1 - 提交 - TortoiseSVN
15:21:58:  1T1
15:22:03:  深圳出差
15:22:08:  E:\深圳出差\DRB - 日志信息 - TortoiseSVN
15:22:18:  DRB
15:22:23:  本地磁盘 (E:)
15:22:28:  00-06
15:22:38:  DRB-PRESS
15:22:43:  工作副本
15:22:48:  Initial.c - TortoiseMerge
15:23:08:  InstrExecute.c - TortoiseMerge
15:24:03:  本地磁盘 (D:)
15:24:08:  00-06
15:24:13:  Project
15:24:18:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
15:25:13:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101524.log
15:25:18:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
15:26:23:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101526.log
15:26:33:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
15:27:43:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101527.log
15:27:48:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
15:28:18:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101527.log
15:29:08:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
15:29:23:  μVision
15:29:33:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
15:29:38:  μVision
15:29:43:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
15:29:48:  μVision
15:29:53:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
15:28:18:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101527.log
15:29:08:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
15:29:23:  μVision
15:29:33:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
15:29:38:  μVision
15:29:43:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
15:29:48:  μVision
15:29:53:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
15:30:13:  μVision
15:30:18:  Cortex JLink/JTrace Target Driver Setup
15:30:23:  Options for Target 'CashBox_1T2_Debug'
15:30:28:  Cortex JLink/JTrace Target Driver Setup
15:30:43:  Options for Target 'CashBox_1T2_Debug'
15:30:53:  Cortex JLink/JTrace Target Driver Setup
15:30:58:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
15:31:03:  Options for Target 'CashBox_1T2_Debug'
15:31:08:  Cortex JLink/JTrace Target Driver Setup
15:31:18:  Options for Target 'CashBox_1T2_Debug'
15:31:23:  Cortex JLink/JTrace Target Driver Setup
15:31:28:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
15:31:48:  Cortex JLink/JTrace Target Driver Setup
15:31:53:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
15:33:43:  KE06LOG.bat - 快捷方式 (2)
15:33:48:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
15:34:33:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101531.log
15:34:43:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101533.log
15:35:03:  接收
15:35:23:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101533.log
15:35:43:  20180613 TCR内部指令手册_V001.xlsx - Excel
15:35:48:  文本分列向导 - 第 1 步，共 3 步
15:35:53:  20180613 TCR内部指令手册_V001.xlsx - Excel
15:36:38:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
15:37:08:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101536.log
15:38:33:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
15:38:43:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101536.log
15:40:18:  20180613 TCR内部指令手册_V001.xlsx - Excel
15:40:23:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101536.log
15:40:28:  20180613 TCR内部指令手册_V001.xlsx - Excel
15:42:38:  KE06LOG.bat - 快捷方式 (2)
15:42:43:  20180613 TCR内部指令手册_V001.xlsx - Excel
15:43:58:  桌面整理
15:44:08:  删除文件
15:44:13:  桌面整理
15:44:33:  移动或复制工作表
15:44:38:  Speed.xlsx - Excel
15:45:03:  20180613 TCR内部指令手册_V001.xlsx - Excel
15:44:08:  删除文件
15:44:13:  桌面整理
15:44:33:  移动或复制工作表
15:44:38:  Speed.xlsx - Excel
15:45:03:  20180613 TCR内部指令手册_V001.xlsx - Excel
15:45:08:  Speed.xlsx - Excel
15:45:18:  回复: BTCR-1100_BOX1T2_KE06_FV1001_EXTFEDU6V11_MAIN_T99 - 写邮件
15:45:23:  V1.003
15:45:28:  TCR调测工具 V3.36
15:45:58:  Project
15:46:03:  DRB-PRESS
15:46:08:  DebugConfig.h - TortoiseMerge
15:46:13:  LowerPlate.c - TortoiseMerge
15:46:18:  UpperPlate.c - TortoiseMerge
15:46:23:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
15:46:33:  DRB-PRESS
15:46:43:  D:\00-06\DRB-PRESS - 复制（分支/标记） - TortoiseSVN
15:47:03:  历史记录
15:47:13:  D:\00-06\DRB-PRESS - 复制（分支/标记） - TortoiseSVN
15:47:23:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_.../BR-1-CashBox1T2-Press - 日志信息 - TortoiseSVN
15:47:33:  D:\00-06\DRB-PRESS - 复制（分支/标记） - TortoiseSVN
15:47:53:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_.../BR-1-CashBox1T2-Press - 日志信息 - TortoiseSVN
15:47:58:  D:\00-06\DRB-PRESS - 复制（分支/标记） - TortoiseSVN
15:48:38:  D:\00-06\DRB-PRESS - 复制 - TortoiseSVN
15:48:43:  DRB-PRESS
15:48:48:   - 版本库浏览器 - TortoiseSVN
15:49:03:  D:\00-06\DRB-PRESS - 切换 - TortoiseSVN
15:49:13:  切换 完成！
15:49:18:  DRB-PRESS
15:49:33:  Initial.c - TortoiseMerge
15:49:38:  InstrExecute.c - TortoiseMerge
15:49:43:  LowerPlateCtrl.c - TortoiseMerge
15:50:03:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
15:50:08:  UpperPlateCtrl.c - TortoiseMerge
15:50:23:  StepMotorDriver.c - TortoiseMerge
15:50:28:  LowerPlate.c - TortoiseMerge
15:50:33:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
15:50:38:  StepMotor.c - TortoiseMerge
15:50:43:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
15:50:48:  UpperPlate.c - TortoiseMerge
15:51:13:  LowerPlate.c - TortoiseMerge
15:51:18:  DRB-PRESS
15:51:23:  Initial.c - TortoiseMerge
15:51:33:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
15:51:48:  锁屏状态
15:51:53:  DRB-PRESS
15:51:58:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
15:52:03:  接收
15:52:08:  00-06
15:52:13:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
15:52:23:  DRB-PRESS
15:52:33:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
15:52:53:  历史记录
15:52:58:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
15:53:13:  00-06
15:53:23:  文件夹访问被拒绝
15:53:28:  Drivers
15:53:33:  删除多个项目
15:53:38:  00-06
15:53:43:  DRB--
15:53:48:  检出
15:53:53:   - 版本库浏览器 - TortoiseSVN
15:54:13:  检出
15:54:18:  BR-1-CashBox1T2-Press - 检出 - TortoiseSVN
15:54:23:  检出 完成！
15:55:03:  DRB--
15:55:08:  D:\00-06\DRB-- - 日志信息 - TortoiseSVN
15:55:13:  DRB--
15:55:18:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
15:55:38:  本地磁盘 (D:)
15:55:43:  DRB
15:55:48:  E:\深圳出差\DRB - 版本库浏览器 - TortoiseSVN
15:55:53:  E:\深圳出差\DRB - 工作副本 - TortoiseSVN
15:55:58:  MotorCtrl.c - TortoiseMerge
15:56:03:  State.c - TortoiseMerge
15:56:09:  Update.c - TortoiseMerge
15:56:14:  OSLib.c - TortoiseMerge
15:56:19:  DRB
15:56:24:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
15:56:54:  DRB
15:56:59:  State.c - TortoiseMerge
15:57:04:  E:\深圳出差\DRB - 工作副本 - TortoiseSVN
15:57:09:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
15:57:54:  本地磁盘 (D:)
15:57:59:  DRB--
15:58:04:  D:\00-06\DRB--\Tools\CreateJK.exe
15:58:14:  Tools
15:58:19:  TCR调测工具 V3.36
15:59:04:  打开
15:59:09:  TCR调测工具 V3.36
15:59:29:  Tools
15:59:34:  DRB--
15:59:39:  历史记录
15:59:49:  D:\00-06\DRB-- - 提交 - TortoiseSVN
15:59:59:  BR-1-CashBox1T2-Press.txt - 记事本
15:58:14:  Tools
15:58:19:  TCR调测工具 V3.36
15:59:04:  打开
15:59:09:  TCR调测工具 V3.36
15:59:29:  Tools
15:59:34:  DRB--
15:59:39:  历史记录
15:59:49:  D:\00-06\DRB-- - 提交 - TortoiseSVN
15:59:59:  BR-1-CashBox1T2-Press.txt - 记事本
16:00:19:  于斌1
16:01:09:  BR-1-CashBox1T2-Press.txt - 记事本
16:01:29:  BR-1-CashBox1T2-Press.txt - TortoiseMerge
16:01:39:  D:\00-06\DRB-- - 提交 - TortoiseSVN
16:01:54:  提交 完成！
16:02:14:  TCR调测工具 V3.36
16:03:59:  打开
16:04:09:  TCR调测工具 V3.36
16:05:19:  钞箱配置
16:05:39:  TCR调测工具 V3.36
16:07:39:  取款
16:07:44:  TCR调测工具 V3.36
16:08:44:  00-06
16:08:54:  文件夹正在使用
16:09:04:  00-06
16:09:09:  DRB-Seclect-Respontime
16:09:19:  D:\00-06\DRB-Seclect-Respontime - 日志信息 - TortoiseSVN
16:09:39:  DRB-Seclect-Respontime
16:09:44:  D:\00-06\DRB-Seclect-Respontime - 日志信息 - TortoiseSVN
16:09:54:  00-06
16:09:59:  trunk
16:10:04:  D:\00-06\1T1-Stop-Length\trunk - 日志信息 - TortoiseSVN
16:11:04:  00-06
16:11:09:  荆文波
16:11:29:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
16:11:39:  荆文波
16:12:19:  运行
16:12:24:  问题日志
16:12:29:  荆文波
16:12:49:  ID-4 反向盘点盘不完
16:12:54:  正在打开 - Excel
16:12:59:  正在打开 - DRB钞箱工程样机系统测试问题列表.xlsx
16:13:04:  DRB钞箱工程样机系统测试问题列表.xlsx  [受保护的视图] - Excel
16:13:19:  荆文波
16:13:54:  DRB钞箱工程样机系统测试问题列表.xlsx  [受保护的视图] - Excel
16:13:59:  经验分享者-招募
16:14:04:  DRB钞箱工程样机系统测试问题列表.xlsx  [受保护的视图] - Excel
16:14:14:  荆文波
16:14:24:  DRB钞箱工程样机系统测试问题列表.xlsx - Excel
16:14:34:  TCR调测工具 V3.36
16:14:14:  荆文波
16:14:24:  DRB钞箱工程样机系统测试问题列表.xlsx - Excel
16:14:34:  TCR调测工具 V3.36
16:16:09:  DRB钞箱工程样机系统测试问题列表.xlsx - Excel
16:17:19:  00-06
16:17:24:  荆文波
16:17:29:  锁屏状态
16:17:34:  问题日志
16:17:39:  1598335109307.jpg - Windows 照片查看器
16:17:44:  荆文波
16:18:29:  问题日志
16:18:34:  DRB钞箱工程样机系统测试问题列表.xlsx - Excel
16:18:49:  荆文波
16:20:54:  本地磁盘 (D:)
16:21:09:  CRS
16:21:14:  本地磁盘 (D:)
16:21:19:  荆文波
16:21:34:  DRB--
16:21:44:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
16:22:09:  荆文波
16:22:14:  本地磁盘 (D:)
16:22:19:  荆文波
16:22:34:  TCR调测工具 V3.36
16:24:49:  荆文波
16:26:19:  本地磁盘 (D:)
16:26:24:  问题日志
16:26:29:  正在打开 - DRB钞箱工程样机系统测试问题列表.xlsx
16:26:34:  DRB钞箱工程样机系统测试问题列表.xlsx  [受保护的视图] - Excel
16:27:04:  问题日志
16:27:14:  ID-30-1 10元新版人民币钞箱出钞倾斜拒钞过多（正向盘点20张，普通取款23张），大于拒钞5%。
16:27:24:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
16:27:39:  LOG
16:27:44:  荆文波
16:27:49:  K64_BTCR-1100200600510420_20200822104530
16:27:54:  删除多个项目
16:27:59:  LOG
16:28:09:  Python 3.7.3 Shell
16:28:19:  LOG
16:28:24:  fenxi
16:28:29:  新建文件夹 (4)
16:28:34:  *Python 3.7.3 Shell*
16:28:39:  Python 3.7.3 Shell
