08:08:07:  高逸
14:00:11:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
14:00:16:  TCR调测工具 V3.36
14:01:01:  托板控制
14:01:41:  钞箱配置
14:01:46:  TCR调测工具 V3.36
14:01:51:  钞箱使能
14:01:56:  回收钞口
14:02:01:  TCR调测工具 V3.36
14:02:06:  钞箱配置
14:02:16:  TCR调测工具 V3.36
14:02:21:  回收钞口
14:02:36:  TCR调测工具 V3.36
14:05:11:  BTCRTestTool 属性
14:05:16:  20201014
14:05:21:  K64_BTCR-1100190803000_20201014140442.log - DRB.tat* - TextAnalysisTool.NET
14:05:56:  回收钞口
14:06:01:  钞箱使能
14:06:06:  回收钞口
14:06:21:  TCR调测工具 V3.36
14:07:56:  D:\00-06\1T1-Stop-Length\trunk\Applications\PlateCtrl\PlateCtrl.c (1T1-Stop-Length) - Sublime Text (UNREGISTERED)
14:08:26:  TCR调测工具 V3.36
14:09:11:  钞箱使能
14:09:16:  回收钞口
14:09:21:  TCR调测工具 V3.36
14:11:36:  D:\00-06\1T1-Stop-Length\trunk\Applications\PlateCtrl\PlateCtrl.c (1T1-Stop-Length) - Sublime Text (UNREGISTERED)
14:13:06:  44
14:13:11:  DCIM
14:13:21:  101APPLE
14:13:26:  103APPLE
14:13:31:  本地磁盘 (C:)
14:13:36:  正在复制...
14:14:11:  发送指令到K06
14:14:16:  TCR调测工具 V3.36
14:14:21:  发送指令到K06
14:14:26:  TCR调测工具 V3.36
14:14:31:  正在复制...
14:14:46:  TCR调测工具 V3.36
14:14:56:  正在复制...
14:14:11:  发送指令到K06
14:14:16:  TCR调测工具 V3.36
14:14:21:  发送指令到K06
14:14:26:  TCR调测工具 V3.36
14:14:31:  正在复制...
14:14:46:  TCR调测工具 V3.36
14:14:56:  正在复制...
14:15:41:  fenxi
14:16:41:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
14:17:21:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:17:51:  E:\深圳出差\44\Applications\EepHisApp\EepromConfig.h (44) - Sublime Text (UNREGISTERED)
14:17:56:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
14:18:06:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:18:16:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
14:18:26:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:18:46:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
14:18:56:  E:\深圳出差\44\Applications\StateCheck\StateCheck.c (44) - Sublime Text (UNREGISTERED)
14:21:26:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
14:22:31:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c • (44) - Sublime Text (UNREGISTERED)
14:22:51:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
14:23:06:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:24:11:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
14:24:16:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:24:46:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
14:24:51:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:25:16:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
14:25:26:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:25:41:  This is an unregistered copy
14:25:46:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:26:26:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
14:26:46:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:26:51:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:27:01:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
14:27:11:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:27:16:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:27:21:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:27:46:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
14:27:51:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:27:56:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:28:06:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:28:31:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
14:28:36:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:29:01:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
14:29:06:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:29:21:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
14:29:51:  D:\00-KE64\trunk\Applications\FlowControl\Plate\PlateDriver.c (trunk) - Sublime Text (UNREGISTERED)
14:29:56:  D:\00-KE64\trunk\Applications\FunctionApp\EepHisApp\EepHisApp.c (trunk) - Sublime Text (UNREGISTERED)
14:28:06:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:28:31:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
14:28:36:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:29:01:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
14:29:06:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:29:21:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
14:29:51:  D:\00-KE64\trunk\Applications\FlowControl\Plate\PlateDriver.c (trunk) - Sublime Text (UNREGISTERED)
14:29:56:  D:\00-KE64\trunk\Applications\FunctionApp\EepHisApp\EepHisApp.c (trunk) - Sublime Text (UNREGISTERED)
14:30:11:  D:\00-KE64\trunk\Applications\StateCheck\StateCheck.c (trunk) - Sublime Text (UNREGISTERED)
14:30:56:  D:\00-KE64\trunk\Applications\FlowControl\Plate\PlateDriver.c (trunk) - Sublime Text (UNREGISTERED)
14:31:11:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
14:31:36:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c • (44) - Sublime Text (UNREGISTERED)
14:31:46:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:32:06:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
14:33:06:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:33:46:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:33:56:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:34:01:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
14:34:06:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:34:11:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
14:34:16:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:34:21:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:34:26:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:34:36:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:34:46:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
14:34:51:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:34:56:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
14:35:01:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:35:41:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
14:35:46:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:36:16:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
14:36:21:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:36:56:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:37:01:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:37:51:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:37:56:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:38:01:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
14:38:06:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:38:11:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:38:26:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
14:38:31:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h • (44) - Sublime Text (UNREGISTERED)
14:38:41:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:38:46:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h • (44) - Sublime Text (UNREGISTERED)
14:38:56:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:39:01:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:39:06:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:39:11:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:39:16:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:39:31:  D:\00-KE64\trunk\Applications\FlowControl\Plate\PlateDriver.c (trunk) - Sublime Text (UNREGISTERED)
14:39:46:  D:\00-KE64\trunk\Applications\FunctionApp\EepHisApp\EepHisApp.c (trunk) - Sublime Text (UNREGISTERED)
14:39:51:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\GateModule.c (trunk) - Sublime Text (UNREGISTERED)
14:40:01:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c • (44) - Sublime Text (UNREGISTERED)
14:40:37:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:40:42:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:41:32:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:41:47:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:41:52:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:41:57:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
14:42:02:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:42:12:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c • (44) - Sublime Text (UNREGISTERED)
14:42:17:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:42:22:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
14:42:27:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:42:47:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c • (44) - Sublime Text (UNREGISTERED)
14:42:57:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
14:43:02:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:43:32:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
14:43:42:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:43:47:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\GateModule.c (trunk) - Sublime Text (UNREGISTERED)
14:43:57:  D:\00-KE64\trunk\Applications\FunctionApp\EepHisApp\EepHisApp.c (trunk) - Sublime Text (UNREGISTERED)
14:44:07:  D:\00-KE64\trunk\Applications\FlowControl\TrackSelector\SelModuleIF.c (trunk) - Sublime Text (UNREGISTERED)
14:44:17:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:44:37:  E:\深圳出差\44\Middlewares\Selector\Selector.c (44) - Sublime Text (UNREGISTERED)
14:44:47:  E:\深圳出差\44\Applications\FlowControl\TrackSelector\SelCtrl.c (44) - Sublime Text (UNREGISTERED)
14:44:07:  D:\00-KE64\trunk\Applications\FlowControl\TrackSelector\SelModuleIF.c (trunk) - Sublime Text (UNREGISTERED)
14:44:17:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:44:37:  E:\深圳出差\44\Middlewares\Selector\Selector.c (44) - Sublime Text (UNREGISTERED)
14:44:47:  E:\深圳出差\44\Applications\FlowControl\TrackSelector\SelCtrl.c (44) - Sublime Text (UNREGISTERED)
14:45:12:  E:\深圳出差\44\Applications\FlowControl\TrackSelector\SelCtrl.h (44) - Sublime Text (UNREGISTERED)
14:45:17:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:45:37:  E:\深圳出差\44\Applications\StateCheck\StateCheck.c (44) - Sublime Text (UNREGISTERED)
14:45:47:  E:\深圳出差\44\Applications\FlowControl\TrackMotor\TrackMotor.h (44) - Sublime Text (UNREGISTERED)
14:46:17:  E:\深圳出差\44\Applications\StateCheck\StateCheck.c (44) - Sublime Text (UNREGISTERED)
14:46:27:  E:\深圳出差\44\Applications\FlowControl\TrackMotor\TrackMotor.h (44) - Sublime Text (UNREGISTERED)
14:46:37:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
14:46:42:  E:\深圳出差\44\Applications\FlowControl\TrackMotor\TrackMotor.h (44) - Sublime Text (UNREGISTERED)
14:46:47:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
14:46:52:  E:\深圳出差\44\Applications\FlowControl\TrackMotor\TrackMotor.h (44) - Sublime Text (UNREGISTERED)
14:46:57:  E:\深圳出差\44\Applications\StateCheck\StateCheck.c (44) - Sublime Text (UNREGISTERED)
14:48:57:  E:\深圳出差\44\Applications\FlowControl\TrackMotor\TrackMotor.h (44) - Sublime Text (UNREGISTERED)
14:49:02:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
14:49:22:  E:\深圳出差\44\Applications\FlowControl\TrackMotor\TrackMotor.h (44) - Sublime Text (UNREGISTERED)
14:49:27:  D:\00-KE64\trunk\Applications\FlowControl\TrackSelector\SelModuleIF.c (trunk) - Sublime Text (UNREGISTERED)
14:49:37:  D:\00-KE64\trunk\Applications\FlowControl\TrackMotor\MotorDriver.h (trunk) - Sublime Text (UNREGISTERED)
14:49:52:  D:\00-KE64\trunk\Applications\StateCheck\StateCheck.c (trunk) - Sublime Text (UNREGISTERED)
14:50:02:  D:\00-KE64\trunk\Applications\FlowControl\TrackMotor\MotorDriver.h (trunk) - Sublime Text (UNREGISTERED)
14:50:07:  D:\00-KE64\trunk\Applications\StateCheck\StateCheck.c (trunk) - Sublime Text (UNREGISTERED)
14:50:12:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
14:50:17:  E:\深圳出差\44\Applications\FlowControl\TrackMotor\TrackMotor.h (44) - Sublime Text (UNREGISTERED)
14:50:27:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
14:50:32:  E:\深圳出差\44\Applications\FlowControl\TrackMotor\TrackMotor.h (44) - Sublime Text (UNREGISTERED)
14:50:37:  E:\深圳出差\44\Applications\FlowControl\TrackMotor\TrackMotor.h • (44) - Sublime Text (UNREGISTERED)
14:50:42:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
14:50:47:  E:\深圳出差\44\Applications\StateCheck\StateCheck.c (44) - Sublime Text (UNREGISTERED)
14:51:17:  eSpace
14:52:17:  运行
14:52:22:  Excel
14:52:27:  5.3 历史记录功能测试-K64.xls  [受保护的视图] - Excel
14:52:57:  E:\深圳出差\44\Applications\StateCheck\StateCheck.c (44) - Sublime Text (UNREGISTERED)
14:53:02:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
14:54:02:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
14:54:07:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
14:54:12:  D:\00-KE64\trunk\Applications\FlowControl\Plate\PlateDriver.c (44) - Sublime Text (UNREGISTERED)
14:54:17:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c • (44) - Sublime Text (UNREGISTERED)
14:54:22:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
14:54:27:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c • (44) - Sublime Text (UNREGISTERED)
14:54:47:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
14:55:02:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h • (44) - Sublime Text (UNREGISTERED)
14:55:57:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
14:56:07:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h • (44) - Sublime Text (UNREGISTERED)
14:56:12:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
14:56:17:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
14:56:22:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
14:56:27:  5.3 历史记录功能测试-K64.xls  [受保护的视图] - Excel
14:56:32:  5.3 历史记录功能测试-K64.xls  [兼容模式] - Excel
14:57:17:  eSpace
14:58:02:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
14:58:37:  5.3 历史记录功能测试-K64.xls  [兼容模式] - Excel
14:58:42:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
14:58:52:  5.3 历史记录功能测试-K64.xls  [兼容模式] - Excel
14:58:57:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
14:59:12:  5.3 历史记录功能测试-K64.xls  [兼容模式] - Excel
14:59:27:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
14:58:37:  5.3 历史记录功能测试-K64.xls  [兼容模式] - Excel
14:58:42:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
14:58:52:  5.3 历史记录功能测试-K64.xls  [兼容模式] - Excel
14:58:57:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
14:59:12:  5.3 历史记录功能测试-K64.xls  [兼容模式] - Excel
14:59:27:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
15:02:57:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h • (44) - Sublime Text (UNREGISTERED)
15:04:02:  D:\00-KE64\trunk\Applications\FunctionApp\EepHisApp\EepHisApp.c (trunk) - Sublime Text (UNREGISTERED)
15:04:07:  D:\00-KE64\trunk\Applications\FunctionApp\EepHisApp\HistoryStruct.h (trunk) - Sublime Text (UNREGISTERED)
15:04:27:  5.3 历史记录功能测试-K64.xls  [兼容模式] - Excel
15:04:42:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h • (44) - Sublime Text (UNREGISTERED)
15:04:52:  D:\00-KE64\trunk\Applications\FunctionApp\EepHisApp\HistoryStruct.h (trunk) - Sublime Text (UNREGISTERED)
15:04:57:  D:\00-KE64\trunk\Applications\FunctionApp\EepHisApp\EepHisApp.c (trunk) - Sublime Text (UNREGISTERED)
15:05:02:  D:\00-KE64\trunk\Applications\FunctionApp\EepHisApp\HistoryStruct.h (trunk) - Sublime Text (UNREGISTERED)
15:05:12:  D:\00-KE64\trunk\Applications\FunctionApp\EepHisApp\EepHisApp.c (trunk) - Sublime Text (UNREGISTERED)
15:05:17:  5.3 历史记录功能测试-K64.xls  [兼容模式] - Excel
15:05:42:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h • (44) - Sublime Text (UNREGISTERED)
15:05:52:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
15:05:57:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h • (44) - Sublime Text (UNREGISTERED)
15:06:02:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
15:06:07:  5.3 历史记录功能测试-K64.xls  [兼容模式] - Excel
15:06:17:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
15:06:22:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h • (44) - Sublime Text (UNREGISTERED)
15:06:42:  主控板集成测试方案-报告
15:06:47:  Excel
15:07:02:  5.1 BOOTLOADER测试V1.0.xls  [兼容模式] - Excel
15:12:17:  D:\00-KE64\trunk\Applications\Update\Update.c (trunk) - Sublime Text (UNREGISTERED)
15:12:27:  5.1 BOOTLOADER测试V1.0.xls  [兼容模式] - Excel
15:16:37:  5.3 历史记录功能测试-K64.xls  [兼容模式] - Excel
15:16:47:  5.1 BOOTLOADER测试V1.0.xls  [受保护的视图] - Excel
15:16:52:  5.1 BOOTLOADER测试V1.0.xls  [兼容模式] - Excel
15:18:22:  固件集成测试方案
15:18:27:  5.1 BOOTLOADER测试V1.0.xls  [受保护的视图] - Excel
15:18:37:  5.1 BOOTLOADER测试V1.0.xls  [兼容模式] - Excel
15:20:42:  5.3 历史记录功能测试-K64.xls  [兼容模式] - Excel
15:21:17:  E:\深圳出差\44\Project\k64_rtt.uvprojx - μVision
15:24:22:  吉哲
15:24:27:  E:\深圳出差\44\Project\k64_rtt.uvprojx - μVision
15:24:32:  PaperManage.c - DRB-- - Visual Studio Code [管理员]
15:24:57:  打开文件夹
15:25:12:  Visual Studio Code
15:25:17:  收取邮件 - 张开发
15:25:27:  荆文波
15:25:37:  eSpace
15:25:42:  fenxi
15:25:47:  打开方式
15:25:52:  Windows Media Player
15:26:32:  fenxi
15:26:37:  欢迎使用 - 44 - Visual Studio Code [管理员]
15:26:47:  ComponentCtrl.c - 44 - Visual Studio Code [管理员]
15:27:02:  ● ComponentCtrl.c - 44 - Visual Studio Code [管理员]
15:27:17:  ComponentCtrl.c - 44 - Visual Studio Code [管理员]
15:27:27:  设置 - 44 - Visual Studio Code [管理员]
15:27:32:  ComponentCtrl.c - 44 - Visual Studio Code [管理员]
15:27:52:  CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
15:27:57:  ComponentCtrl.c - 44 - Visual Studio Code [管理员]
15:28:07:  锁屏状态
15:28:12:  新标签页 - Google Chrome
15:28:17:  eSpace
15:28:22:  桌面整理
