08:01:47:  【统计】PLM系统产品库权限统计表——技术中心
16:02:18:  D:\00-KE64\10\Applications\FlowControl\TrackMotor\MotorDriver.h (10) - Sublime Text (UNREGISTERED)
16:02:23:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (10) - Sublime Text (UNREGISTERED)
16:02:38:  D:\00-KE64\10\Applications\FlowControl\TrackModule\GateModule.c (10) - Sublime Text (UNREGISTERED)
16:02:43:  D:\00-KE64\10\Applications\FlowControl\TrackMotor\MotorModuleIF.h (10) - Sublime Text (UNREGISTERED)
16:02:48:  D:\00-KE64\10\Applications\FlowControl\TrackModule\GateModule.c (10) - Sublime Text (UNREGISTERED)
16:03:23:  D:\00-KE64\10\Applications\FlowControl\TrackMotor\MotorModuleIF.h (10) - Sublime Text (UNREGISTERED)
16:03:28:  D:\00-KE64\10\Applications\FlowControl\TrackModule\GateModule.c (10) - Sublime Text (UNREGISTERED)
16:03:43:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (10) - Sublime Text (UNREGISTERED)
16:04:03:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.h (10) - Sublime Text (UNREGISTERED)
16:04:13:  D:\00-06\meger\Applications\MotorCtrl\MotorCtrl.h (10) - Sublime Text (UNREGISTERED)
16:04:18:  D:\00-KE64\10\Applications\InstrExp\InstrGSProcess.c • (10) - Sublime Text (UNREGISTERED)
16:04:33:  D:\00-KE64\10\Applications\InstrExp\InstrGSProcess.c (10) - Sublime Text (UNREGISTERED)
16:04:53:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (10) - Sublime Text (UNREGISTERED)
16:05:18:  D:\00-KE64\10\Applications\InstrExp\InstrGSProcess.c (10) - Sublime Text (UNREGISTERED)
16:05:33:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (10) - Sublime Text (UNREGISTERED)
16:05:48:  Tools
16:05:53:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
16:05:58:  D:\00-KE64\10\Project\k64_rtt.uvprojx - μVision
16:06:03:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (10) - Sublime Text (UNREGISTERED)
16:06:18:  D:\00-KE64\10\Applications\InstrExp\InstrGSProcess.c (10) - Sublime Text (UNREGISTERED)
16:06:23:  D:\00-KE64\10\Project\k64_rtt.uvprojx - μVision
16:06:58:  Tools
16:07:03:  D:\00-KE64\10\Tools\CreateJK.exe
16:07:08:  Tools
16:07:28:  TCR调测工具 V3.36
16:07:38:  BTCRTestTool
16:07:43:  TCR调测工具 V3.36
16:09:08:  D:\00-KE64\10\Applications\InstrExp\InstrGSProcess.c (10) - Sublime Text (UNREGISTERED)
16:09:18:  D:\00-KE64\10\Applications\FlowControl\TrackModule\GateModule.c (10) - Sublime Text (UNREGISTERED)
16:09:43:  D:\00-KE64\10\Applications\FlowControl\TrackMotor\MotorModuleIF.c (10) - Sublime Text (UNREGISTERED)
16:10:28:  D:\00-KE64\10\Applications\InstrExp\InstrGSProcess.c (10) - Sublime Text (UNREGISTERED)
16:10:48:  D:\00-KE64\10\Project\k64_rtt.uvprojx - μVision
16:10:53:  锁屏状态
16:11:03:  D:\00-KE64\10\Tools\CreateJK.exe
16:11:18:  TCR调测工具 V3.36
16:11:48:  BTCRTestTool
16:12:08:  D:\00-KE64\10\Applications\InstrExp\InstrGSProcess.c (10) - Sublime Text (UNREGISTERED)
16:12:13:  D:\00-KE64\10\Applications\InstrExp\InstrGSProcess.c • (10) - Sublime Text (UNREGISTERED)
16:13:14:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.h (10) - Sublime Text (UNREGISTERED)
16:13:39:  D:\00-06\DRB\Middlewares\Plate\UpperPlate.c (10) - Sublime Text (UNREGISTERED)
16:13:44:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (10) - Sublime Text (UNREGISTERED)
16:13:49:  D:\00-KE64\10\Applications\InstrExp\InstrGSProcess.c • (10) - Sublime Text (UNREGISTERED)
16:14:09:  D:\00-KE64\10\Applications\InstrExp\InstrGSProcess.c (10) - Sublime Text (UNREGISTERED)
16:14:14:  D:\00-KE64\10\Applications\InstrExp\InstrGSProcess.c • (10) - Sublime Text (UNREGISTERED)
16:14:24:  D:\00-KE64\10\Project\k64_rtt.uvprojx - μVision
16:14:29:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
16:14:39:  D:\00-KE64\10\Project\k64_rtt.uvprojx - μVision
16:14:44:  D:\00-KE64\10\Tools\CreateJK.exe
16:14:54:  TCR调测工具 V3.36
16:14:09:  D:\00-KE64\10\Applications\InstrExp\InstrGSProcess.c (10) - Sublime Text (UNREGISTERED)
16:14:14:  D:\00-KE64\10\Applications\InstrExp\InstrGSProcess.c • (10) - Sublime Text (UNREGISTERED)
16:14:24:  D:\00-KE64\10\Project\k64_rtt.uvprojx - μVision
16:14:29:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
16:14:39:  D:\00-KE64\10\Project\k64_rtt.uvprojx - μVision
16:14:44:  D:\00-KE64\10\Tools\CreateJK.exe
16:14:54:  TCR调测工具 V3.36
16:15:14:  BTCRTestTool
16:17:44:  D:\00-KE64\10\Applications\InstrExp\InstrGSProcess.c (10) - Sublime Text (UNREGISTERED)
16:17:49:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.h (10) - Sublime Text (UNREGISTERED)
16:23:59:  D:\00-KE64\10\Applications\InstrExp\InstrGSProcess.c (10) - Sublime Text (UNREGISTERED)
16:25:24:  K64与接口的指令接口20210127.xlsx  [受保护的视图] - Excel
16:25:29:  D:\00-KE64\10\Applications\InstrExp\InstrGSProcess.c (10) - Sublime Text (UNREGISTERED)
16:25:39:  K64与接口的指令接口20210127.xlsx  [受保护的视图] - Excel
16:25:44:  eSpace
16:26:09:  K64与接口的指令接口20210127.xlsx  [受保护的视图] - Excel
16:27:14:  eSpace
16:27:19:  颜晓军
16:27:24:  K64与接口的指令接口20210127.xlsx  [受保护的视图] - Excel
16:27:29:  eSpace
16:27:39:  截屏
16:27:49:  未命名 - 写邮件
16:28:04:  信息
16:28:09:  D:\00-KE64\10\Applications\InstrExp\InstrGSProcess.c (10) - Sublime Text (UNREGISTERED)
16:29:44:  跳转列表
16:29:59:  D:\00-KE64\10\Applications\InstrExp\InstrGSProcess.c (10) - Sublime Text (UNREGISTERED)
16:28:09:  D:\00-KE64\10\Applications\InstrExp\InstrGSProcess.c (10) - Sublime Text (UNREGISTERED)
16:29:44:  跳转列表
16:29:59:  D:\00-KE64\10\Applications\InstrExp\InstrGSProcess.c (10) - Sublime Text (UNREGISTERED)
16:30:24:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
16:46:29:  TCR调测工具 V3.36
16:46:34:  打开
16:46:39:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
16:46:44:  Tools
16:46:49:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
16:46:54:  D:\00-06\DRB\Tools\CreateJK.exe
16:46:59:  打开
16:47:04:  BTCRTestTool
16:47:09:  打开
16:47:14:  TCR调测工具 V3.36
16:48:14:  钞箱配置
16:48:24:  TCR调测工具 V3.36
16:48:54:  取款
16:48:59:  TCR调测工具 V3.36
16:49:24:  本地磁盘 (D:)
16:56:39:  TCR调测工具 V3.36
16:56:49:  颜晓军
16:57:29:  TCR调测工具 V3.36
16:57:39:  颜晓军
16:57:59:  TCR调测工具 V3.36
16:59:39:  颜晓军
16:59:44:  TCR调测工具 V3.36
16:59:39:  颜晓军
16:59:44:  TCR调测工具 V3.36
17:03:09:  取款
17:03:14:  TCR调测工具 V3.36
17:04:04:  跳转列表
17:04:09:  20210302
17:04:19:  Decode
17:04:29:  K64_0000_20210302170323
17:04:49:  Box_4__0000_20210302170323.log - DRB.tat* - TextAnalysisTool.NET
17:05:04:  发送指令到K06
17:05:19:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
17:05:29:  TCR调测工具 V3.36
17:06:24:  取款
17:06:29:  TCR调测工具 V3.36
17:06:49:  本地磁盘 (D:)
17:06:54:  TCRControlCmdDLL
17:06:59:  20210302
17:08:04:  TCR调测工具 V3.36
17:11:19:  取款
17:11:49:  TCR调测工具 V3.36
17:13:19:  取款
17:13:24:  TCR调测工具 V3.36
17:19:34:  取款
17:19:39:  TCR调测工具 V3.36
17:44:10:  取款
17:44:15:  TCR调测工具 V3.36
17:44:10:  取款
17:44:15:  TCR调测工具 V3.36
17:47:00:  取款
17:47:05:  TCR调测工具 V3.36
17:50:50:  取款
17:50:55:  TCR调测工具 V3.36
17:56:50:  取款
17:56:55:  TCR调测工具 V3.36
17:58:45:  取款
17:58:50:  TCR调测工具 V3.36
17:59:15:  BTCRTestTool 属性
17:58:45:  取款
17:58:50:  TCR调测工具 V3.36
17:59:15:  BTCRTestTool 属性
