08:00:15:  回复: 回复: 美国专利分析
10:40:04:  D:\00-06\DRB-PRESS\FwLib\StdSnbc\StdMacro.h (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:40:14:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:40:39:  nfc万能读写软件_百度搜索 - Google Chrome
10:40:49:  nfc读写软件app_百度搜索 - Google Chrome
10:40:54:  nfc软件哪个好用?手机nfc读写软件_nfc app软件下载_绿色资源网 - Google Chrome
10:41:04:  nfc读写软件app_百度搜索 - Google Chrome
10:41:09:  NFC读卡器软件app下载-NFC读卡器appv7.2 最新版-腾牛安卓网 - Google Chrome
10:41:14:  nfc读写软件app_百度搜索 - Google Chrome
10:41:19:  新建文本文档.exe - 快捷方式
10:41:24:  eSpace
10:41:59:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:42:04:  eSpace
10:42:14:  程明昌
10:42:59:  eSpace
10:43:09:  陈卫珍
10:43:29:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:43:44:  陈卫珍
10:45:24:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:45:29:  eSpace
10:45:34:  吉哲
10:46:14:  eSpace
10:46:19:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:46:54:  eSpace
10:47:19:  nfc读写软件app_百度搜索 - Google Chrome
10:47:39:  读取NFC数据_百度搜索 - Google Chrome
10:47:44:  手机 读取NFC数据_百度搜索 - Google Chrome
10:47:59:  Android 使用手机NFC的读取NFC标签数据的方法_Android_脚本之家 - Google Chrome
10:48:29:  手机 读取NFC数据_百度搜索 - Google Chrome
10:48:34:  https://www.baidu.com/link?url=vo5zh_hS0ngXdUPKrXAJnYpXHDPD-nbttfuwZgVpxklGSbw6RIRS8oQOaw7j0u1wrbLf74R4lY83mPd7YMyuBSGWOjqaIR8E2ARuLxnBHry&wd=&eqid=b8809a4700003ad1000000025f2a1dce - Google Chrome
10:48:39:  手机 读取NFC数据_百度搜索 - Google Chrome
10:48:54:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:49:29:  5.21 NFC测试V1.0.xls  [兼容模式] - Excel
10:49:34:  新建文本文档.exe - 快捷方式
10:49:39:  5.21 NFC测试V1.0.xls  [兼容模式] - Excel
10:51:19:  钞箱1T2集成测试方案
10:51:29:  Microsoft Visual Studio Team System 2008 Team Suite - CHS
10:51:34:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:53:19:  D:\00-06\DRB-PRESS\Applications\State\State.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:53:29:  TCR调测工具 V3.36
10:53:49:  D:\00-06\DRB-PRESS\Applications\State\State.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:53:59:  3.4 - Everything
10:54:04:  v3.4 - Everything
10:54:19:  BTCRTestTool - Everything
10:54:34:  本地磁盘 (D:)
10:54:39:  BTCRTestTool - Everything
10:54:44:  TCR调测工具（研发版）V3.41
10:54:49:  RFID
10:54:59:  BTCRTestTool
10:55:04:  RFID
10:55:14:  TCR调测工具（研发版）V3.41
10:55:29:  fenxi
10:55:34:  DRB集成测试
10:55:39:  5.21 NFC测试V1.0.xls  [兼容模式] - Excel
10:55:54:  M2 - Everything
10:56:04:  M - Everything
10:56:09:  M24SR - Everything
10:56:29:  M24SR.*?.pdf - Everything
10:56:34:  M24.*?.pdf - Everything
10:56:39:  M24C64（ST DF-0.1623美元 -R 0.0979） .pdf - Adobe Reader
10:57:34:  5.21 NFC测试V1.0.xls  [兼容模式] - Excel
10:57:44:  M24.*?.pdf - Everything
10:57:49:  钞箱资料
10:57:59:  5.21 NFC测试V1.0.xls  [兼容模式] - Excel
10:58:19:  5.2 EEPROM测试V1.0.xls  [兼容模式] - Excel
10:58:24:  5.21 NFC测试V1.0.xls  [兼容模式] - Excel
10:58:29:  Microsoft Excel
10:58:44:  D:\00-06\DRB-PRESS\Applications\State\State.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:59:19:  计算器
10:59:34:  D:\00-06\DRB-PRESS\Applications\State\State.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:58:19:  5.2 EEPROM测试V1.0.xls  [兼容模式] - Excel
10:58:24:  5.21 NFC测试V1.0.xls  [兼容模式] - Excel
10:58:29:  Microsoft Excel
10:58:44:  D:\00-06\DRB-PRESS\Applications\State\State.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:59:19:  计算器
10:59:34:  D:\00-06\DRB-PRESS\Applications\State\State.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
11:01:04:  吉哲
11:01:44:  eSpace
11:01:49:  D:\00-06\DRB-PRESS\Applications\State\State.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
11:02:04:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
11:05:24:  「开始」菜单
11:05:29:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
11:05:54:  网易有道词典
11:06:04:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
11:08:39:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\UpperPlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
11:08:49:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\LowerPlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
11:08:59:  D:\00-06\DRB-PRESS\Middlewares\Plate\LowerPlate.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
11:10:04:  D:\00-06\DRB-PRESS\Middlewares\Plate\LowerPlate.c • (DRB-PRESS) - Sublime Text (UNREGISTERED)
11:11:09:  D:\00-06\DRB-PRESS\Middlewares\Plate\LowerPlate.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
11:11:29:  D:\00-06\DRB-PRESS\Middlewares\Plate\LowerPlate.c • (DRB-PRESS) - Sublime Text (UNREGISTERED)
11:11:34:  D:\00-06\DRB-PRESS\Middlewares\Plate\LowerPlate.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
11:12:19:  TCR调测工具（研发版）V3.41
11:12:29:  D:\00-06\DRB-PRESS\Middlewares\Plate\LowerPlate.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
11:12:39:  μVision
11:12:44:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
11:17:29:  M24.*?.pdf - Everything
11:17:39:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
11:23:49:  新标签页 - Google Chrome
11:25:29:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
13:07:30:  跳转列表
13:07:40:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
13:08:20:  吉哲
13:08:30:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
13:11:45:  新标签页 - Google Chrome
13:11:50:  锁屏状态
13:11:55:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
13:12:00:  TCR调测工具（研发版）V3.41
13:13:05:  D:\00-06\DRB-PRESS\Applications\State\State.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:13:15:  D:\00-06\DRB-PRESS\Middlewares\Nfc\Nfc.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:13:20:  D:\00-06\DRB-PRESS\Drivers\M24SRDriver\drv_I2C_M24SR.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:13:30:  D:\00-06\DRB-PRESS\Drivers\M24SRDriver\drv_I2C_M24SR.h (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:15:10:  42 CRS现金循环模块
13:15:15:  正在打开 - PowerPoint
13:15:20:  钞箱集成测试方案-报告
13:15:25:  5.21 NFC测试V1.0.xls  [受保护的视图] - Excel
13:15:30:  Excel
13:15:35:  5.21 NFC测试V1.0.xls  [只读]  [兼容模式] - Excel
13:16:00:  Microsoft Excel
13:16:05:  5.21 NFC测试V1.0.xls  [只读]  [兼容模式] - Excel
13:16:20:  对象
13:16:25:  Microsoft Excel
13:16:35:  5.21 NFC测试V1.0.xls  [只读]  [兼容模式] - Excel
13:16:40:  桌面整理
13:16:45:  5.21 NFC测试V1.0.xls  [只读]  [兼容模式] - Excel
13:17:00:  钞箱集成测试方案-报告
13:17:35:  5.21 NFC测试V1.0.xls  [只读]  [兼容模式] - Excel
13:17:40:  D:\00-06\DRB-PRESS\Drivers\M24SRDriver\drv_I2C_M24SR.h (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:18:05:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
13:18:40:  物料规格书,1700-0000022,接口电路.pdf
13:19:30:  物料规格书,1700-0000022,接口电路.pdf - Adobe Reader
13:20:00:  锁屏状态
13:20:05:  D:\00-06\DRB-PRESS\Drivers\M24SRDriver\drv_M24SR.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:20:10:  D:\00-06\DRB-PRESS\Middlewares\Nfc\Nfc.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:20:20:  于斌1
13:20:30:  D:\00-06\DRB-PRESS\Middlewares\Nfc\Nfc.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:20:40:  于斌1
13:20:55:  D:\00-06\DRB-PRESS\Middlewares\Nfc\Nfc.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:21:10:  于斌1
13:21:15:  D:\00-06\DRB-PRESS\Middlewares\Nfc\Nfc.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:21:40:  D:\00-06\DRB-PRESS\Applications\Instruction\InstrExecute.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:21:50:  D:\00-06\DRB-PRESS\Applications\State\State.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:21:55:  物料规格书,1700-0000022,接口电路.pdf - Adobe Reader
13:22:30:  D:\00-06\DRB-PRESS\Drivers\M24SRDriver\drv_M24SR.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:22:35:  D:\00-06\DRB-PRESS\Drivers\M24SRDriver\drv_I2C_M24SR.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:22:40:  物料规格书,1700-0000022,接口电路.pdf - Adobe Reader
13:23:25:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
13:23:45:  D:\00-06\DRB-PRESS\Drivers\M24SRDriver\drv_M24SR.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:23:50:  于斌1
13:23:55:  物料规格书,1700-0000022,接口电路.pdf - Adobe Reader
13:30:00:  D:\00-06\DRB-PRESS\Applications\State\State.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:30:00:  D:\00-06\DRB-PRESS\Applications\State\State.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:30:10:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
13:30:40:  Toolbox
13:30:45:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
13:31:15:  于斌1
13:31:25:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
13:34:20:  于斌1
13:34:25:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
13:35:55:  D:\00-06\DRB-PRESS\Applications\State\State.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:36:05:  D:\00-06\DRB-PRESS\Drivers\M24SRDriver\drv_I2C_M24SR.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:36:10:  D:\00-06\DRB-PRESS\Drivers\M24SRDriver\drv_I2C_M24SR.h (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:36:35:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\LowerPlateCtrl.h (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:36:45:  D:\00-06\DRB-PRESS\Drivers\EepromDriver\EepromDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:36:55:  D:\00-06\DRB-PRESS\Drivers\M24SRDriver\drv_I2C_M24SR.h (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:37:00:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
13:38:15:  D:\00-06\DRB-PRESS\Drivers\M24SRDriver\drv_I2C_M24SR.h (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:38:25:  D:\00-06\DRB-PRESS\Middlewares\Plate\LowerPlate.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:39:40:  D:\00-06\DRB-PRESS\Middlewares\Nfc\Nfc.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:39:50:  物料规格书,1700-0000022,接口电路.pdf - Adobe Reader
13:41:05:  D:\00-06\DRB-PRESS\Middlewares\Nfc\Nfc.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:41:10:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
13:41:15:  打开
13:41:20:  TCR调测工具 V3.36
13:41:30:  新建文本文档.exe - 快捷方式
13:41:35:  新标签页 - Google Chrome
13:41:40:  百度一下，你就知道 - Google Chrome
13:41:45:  手机读取NFC_百度搜索 - Google Chrome
13:41:50:  Android 使用手机NFC的读取NFC标签数据的方法_Android_脚本之家 - Google Chrome
13:42:00:  手机读取NFC_百度搜索 - Google Chrome
13:42:10:  nfc软件哪个好用?手机nfc读写软件_nfc app软件下载_绿色资源网 - Google Chrome
13:42:15:  https://www.baidu.com/link?url=5ln-hmYhZ3O_ejb-cZJoX4U2pIlfcpShOry0Y-9aHVcagOOKobSeLs2knqc7EVngBfAtRavpVWoyWYl06-ei4J98J478imVLwR0APuRu2Xq&wd=&eqid=b743c8d40000e39e000000025f2a46ad - Google Chrome
13:42:20:  #神器#NFC手机复制门禁卡-百度经验 - Google Chrome
13:42:45:  钞箱集成测试方案-报告
13:44:56:  物料规格书,1700-0000022,接口电路.pdf - Adobe Reader
13:44:56:  物料规格书,1700-0000022,接口电路.pdf - Adobe Reader
13:45:26:  百度一下，你就知道 - Google Chrome
13:45:31:  与ISO/IEC 14443_百度搜索 - Google Chrome
13:45:36:  https://www.baidu.com/link?url=wWV8Zj--FGZM277P7pD4yb3F5f_9KNemoj4SiORjv5E-cILBfv1PfN3kHckgoNaPXiPiwhLh4yHg3jbX90wzndK0DyIN1LndculgT10d7Ri&wd=&eqid=b4ae2d7a0002a7bf000000025f2a477c - Google Chrome
13:45:41:  ISO14443A读卡流程_qq_39150545的博客-CSDN博客_. - Google Chrome
13:45:46:  ISO/IEC 14443 读取_百度搜索 - Google Chrome
13:45:51:  ISO/IEC 14443 读取软件_百度搜索 - Google Chrome
13:46:06:  rfid读取软件app_百度搜索 - Google Chrome
13:46:11:  无需APP，手机读取RFID标签还可以这么简单！_新品发布_新闻中心_RFID世界网 - Google Chrome
13:46:21:  rfid读取软件app_百度搜索 - Google Chrome
13:46:31:  ISO14443A读卡流程_qq_39150545的博客-CSDN博客_. - Google Chrome
13:46:36:  物料规格书,1700-0000022,接口电路.pdf - Adobe Reader
13:46:41:  rfid读取软件app_百度搜索 - Google Chrome
13:46:46:  rfid读取 app_百度搜索 - Google Chrome
13:46:56:  https://www.baidu.com/link?url=wWxmoi81SCSzsxEFeAL7oyRO5EKQSD73tzQExsr2v9Rot688hyW5LxGCU0DO0PIZ&wd=&eqid=f7f6076d0005d5ea000000025f2a47c4 - Google Chrome
13:47:01:  物料规格书,1700-0000022,接口电路.pdf - Adobe Reader
13:47:06:  rfid读取 app_百度搜索 - Google Chrome
13:47:11:  ISO/IEC 14443 读取软件_百度搜索 - Google Chrome
13:47:21:  A卡读取软件_百度搜索 - Google Chrome
13:47:26:  A卡读取软件 app_百度搜索 - Google Chrome
13:47:31:  A卡读取软件_百度搜索 - Google Chrome
13:47:41:  a 卡读取软件_百度搜索 - Google Chrome
13:47:46:  RF A 卡读取软件_百度搜索 - Google Chrome
13:47:51:  Mifare one卡操作程序(ic卡读写器)V1.2 绿色版软件下载 - 绿色先锋下载 - 绿色软件下载站 - Google Chrome
13:48:01:  RF A 卡读取软件_百度搜索 - Google Chrome
13:48:11:  RF A 卡读取 app_百度搜索 - Google Chrome
13:48:16:  物料规格书,1700-0000022,接口电路.pdf - Adobe Reader
13:48:21:  托板控制
13:48:46:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
13:49:06:  D:\00-06\DRB-PRESS\Middlewares\Nfc\Nfc.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:49:16:  D:\00-06\DRB-PRESS\Middlewares\Plate\UpperPlate.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:49:26:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\UpperPlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:49:36:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
13:49:41:  钞箱集成测试方案-报告
13:49:46:  00-06
13:49:51:  DRB-PRESS
13:49:56:  Tools
13:50:01:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
13:50:06:  TCR调测工具 V3.36
13:51:36:  托板控制
13:51:51:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
13:53:36:  Tools
13:53:41:  托板控制
13:53:46:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
13:53:56:  Tools
13:54:01:  打开
13:54:06:  TCR调测工具 V3.36
13:54:11:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
13:54:41:  TCR调测工具 V3.36
13:54:46:  托板控制
13:55:11:  TCR调测工具 V3.36
13:55:21:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
13:57:26:  D:\00-06\DRB-PRESS\Middlewares\Nfc\Nfc.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:57:56:  托板控制
13:58:41:  TCR调测工具 V3.36
13:59:26:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
13:58:41:  TCR调测工具 V3.36
13:59:26:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
14:00:11:  Tools
14:00:16:  TCR调测工具 V3.36
14:00:26:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
14:00:41:  Tools
14:01:01:  TCR调测工具 V3.36
14:01:21:  托板控制
14:02:01:  TCR调测工具 V3.36
14:03:26:  托板控制
14:04:11:  TCR调测工具 V3.36
14:04:16:  托板控制
14:05:21:  TCR调测工具 V3.36
14:06:11:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
14:20:51:  新建文本文档.exe - 快捷方式
14:20:56:  RF A 卡读取 app_百度搜索 - Google Chrome
14:21:36:  于斌1
14:22:26:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
14:24:47:  计算器
14:26:47:  于斌1
14:26:57:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
14:33:52:  于斌1
14:34:07:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
14:34:12:  Toolbox
14:34:17:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
14:40:32:  于斌1
14:41:12:  eSpace
14:42:07:  锁屏状态
14:42:12:  DRB-PRESS
14:42:17:  Project
14:42:22:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
14:42:37:  自动播放
14:43:57:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
14:44:52:  eSpace
14:44:57:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
14:45:02:  吉哲
14:44:52:  eSpace
14:44:57:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
14:45:02:  吉哲
14:45:22:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
14:45:32:  物料规格书,1700-0000022,接口电路.pdf - Adobe Reader
14:49:42:  吉哲
14:50:02:  eSpace
14:50:07:  物料规格书,1700-0000022,接口电路.pdf
14:50:17:  5.21 NFC测试V1.0.xls  [只读]  [兼容模式] - Excel
14:50:22:  物料规格书,1700-0000022,接口电路.pdf
14:50:27:  吉哲
14:50:52:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
14:51:02:  自动播放
14:51:07:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
14:51:12:  吉哲
14:51:57:  D:\00-06\DRB-PRESS\Middlewares\Nfc\Nfc.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
14:52:12:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
14:52:22:  D:\00-06\DRB-PRESS\Middlewares\Nfc\Nfc.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
14:52:32:  吉哲
14:52:47:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
14:53:52:  钞箱配置
14:54:02:  TCR调测工具 V3.36
14:55:57:  eSpace
15:01:22:  TCR调测工具 V3.36
15:04:32:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
15:13:47:  戚晓东
15:16:12:  TCR调测工具 V3.36
15:16:17:  钞箱使能
15:16:22:  模块使能
15:20:52:  TCR调测工具 V3.36
15:21:27:  钞箱配置
15:21:37:  TCR调测工具 V3.36
15:23:32:  发送指令到K06
15:23:42:  TCR调测工具 V3.36
15:25:32:  取款
15:25:37:  TCR调测工具 V3.36
15:26:42:  eSpace
15:26:57:  王兆文
15:27:02:  详细信息
15:27:07:  王兆文
15:27:17:  eSpace
15:27:22:  TCR调测工具 V3.36
15:27:27:  取款
15:29:47:  TCR调测工具 V3.36
15:29:47:  TCR调测工具 V3.36
15:31:47:  发送指令到K06
15:32:02:  TCR调测工具 V3.36
15:33:27:  锁屏状态
15:33:32:  06 固件日报
15:33:37:  固件集成测试方案
15:33:42:  主页 - Internet Explorer
15:33:47:  系统登录 - Internet Explorer
15:33:52:  新北洋OA信息化平台 - Internet Explorer
15:33:57:  测试需求通知单II类提交 - Internet Explorer
15:34:02:  1_需求申请人_测试需求通知单II类提交 - Internet Explorer
15:34:17:  http://oa.byintra.com/Web/Form/PLC/TestRequirements2/File/II类测试工作流操作说明.doc - Internet Explorer
15:34:22:  1_需求申请人_测试需求通知单II类提交 - Internet Explorer
15:34:27:  新北洋OA信息化平台 - Internet Explorer
15:34:32:  2_提交需求_测试需求通知单II类提交 - Internet Explorer
15:34:42:  II类测试工作流操作说明.doc [只读] [兼容模式] - Word
15:34:52:  新北洋OA信息化平台 - Internet Explorer
15:35:12:  2_提交需求_测试需求通知单II类提交 - Internet Explorer
15:35:32:  发送指令到K06
15:35:37:  TCR调测工具 V3.36
15:36:42:  发送指令到K06
15:36:47:  TCR调测工具 V3.36
15:43:07:  2_提交需求_测试需求通知单II类提交 - Internet Explorer
15:43:22:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
15:43:27:  μVision
15:43:32:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
15:43:42:  TCR调测工具 V3.36
15:44:07:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
15:44:17:  TCR调测工具 V3.36
15:44:32:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
15:44:07:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
15:44:17:  TCR调测工具 V3.36
15:44:32:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
15:46:07:  取款
15:46:12:  TCR调测工具 V3.36
15:54:07:  物料规格书,1700-0000022,接口电路.pdf
15:54:32:  王兆文
15:58:22:  自动播放
15:58:27:  TCR调测工具 V3.36
15:58:37:  钞箱配置
15:58:42:  TCR调测工具 V3.36
16:00:02:  取款
15:58:22:  自动播放
15:58:27:  TCR调测工具 V3.36
15:58:37:  钞箱配置
15:58:42:  TCR调测工具 V3.36
16:00:02:  取款
16:00:27:  钞箱配置
16:00:37:  取款
16:00:42:  TCR调测工具 V3.36
16:04:42:  桌面整理
16:04:47:  6.2.2.6 钞箱测试1T2.xls  [兼容模式] - Excel
16:05:52:  本地磁盘 (D:)
16:05:57:  钞箱1T2集成测试方案
16:06:02:  DRB集成测试
16:06:07:  压缩文件名和参数
16:06:27:  未命名 - 写邮件
16:06:37:  钞箱1T2集成测试方案.part1 - 写邮件
16:07:07:  回复: 钞箱1T2集成测试方案.part1 - 写邮件
16:07:27:  TCR调测工具 V3.36
16:11:32:  库
16:11:37:  本地磁盘 (D:)
16:11:57:  LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
16:12:02:  eSpace
16:12:07:  程明昌
16:12:27:  eSpace
16:12:37:  物料规格书,1700-0000022,接口电路.pdf
16:12:42:  程明昌
16:14:13:  NDP472-KB4054531-Web.rar - WinRAR (非商业个人版)
16:14:18:  Extracting files
16:14:23:  程明昌
16:14:43:  Microsoft .NET Framework
16:14:48:  程明昌
16:14:53:  Microsoft .NET Framework
16:14:13:  NDP472-KB4054531-Web.rar - WinRAR (非商业个人版)
16:14:18:  Extracting files
16:14:23:  程明昌
16:14:43:  Microsoft .NET Framework
16:14:48:  程明昌
16:14:53:  Microsoft .NET Framework
16:16:58:  新建文本文档.exe - 快捷方式
16:17:08:  LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
16:17:18:  eSpace
16:17:23:  PressurePlate.h - DRB-PRESS - Visual Studio Code [管理员]
16:17:28:  eSpace
16:17:33:  程明昌
16:18:48:  本地磁盘 (D:)
16:18:53:  本地磁盘 (F:)
16:19:03:  01-软件
16:19:13:  修复工具
16:19:18:  DirectXRepair-v3.8.zip - WinRAR (非商业个人版)
16:19:38:  DirectX修复工具 OL
16:20:08:  更新 c++ Redistributable Package
16:20:13:  DirectX Repair
16:20:18:  DirectX修复工具 OL
16:20:23:  DirectX 诊断工具
16:20:28:  正在收集信息...
16:20:38:  DirectX 诊断工具
16:20:53:  程明昌
16:21:18:  PressurePlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
16:21:28:  扩展: SonarLint For PClint - DRB-PRESS - Visual Studio Code [管理员]
16:21:33:  DirectX 诊断工具
16:21:38:  DirectXRepair-v3.8.zip - WinRAR (非商业个人版)
16:21:58:  程明昌
16:22:53:  扩展: SonarLint For PClint - DRB-PRESS - Visual Studio Code [管理员]
16:22:58:  LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
16:23:03:  程明昌
16:24:13:  修复工具
16:24:18:  00-06
16:24:28:  DRB-PRESS
16:24:33:  工作副本
16:24:38:  Application.c - TortoiseMerge
16:24:43:  文件补丁  
16:24:48:  HistoryRecord.c - TortoiseMerge
16:25:43:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
16:25:48:  Initial.c - TortoiseMerge
16:25:53:  InstrExecute.c - TortoiseMerge
16:26:08:  MemoryConfig.h - TortoiseMerge
16:26:13:  TortoiseMerge
16:26:18:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
16:26:23:  MotorCtrl.c - TortoiseMerge
16:26:38:  PaperManage.c - TortoiseMerge
16:26:43:  程明昌
16:26:48:  LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
16:26:53:  程明昌
16:26:58:  MenuDlg
16:27:03:  程明昌
16:27:08:  张开发,程明昌
16:27:13:  张开发,程明昌 (未响应)
16:27:18:  eSpace Meeting
16:27:23:  锁屏状态
