08:00:32:  自动播放
09:16:24:  Python 3.7.3 Shell
09:16:29:  www.yopmail.com/zh - Google Chrome
09:16:34:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
09:16:44:  YOPmail - Google Chrome
09:17:04:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
09:17:09:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
09:17:14:  selenium click() 很慢_百度搜索 - Google Chrome
09:17:19:  selenium click() 执行时机很长_百度搜索 - Google Chrome
09:17:34:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
09:17:54:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
09:18:09:  data:, - Google Chrome
09:18:14:  *Python 3.7.3 Shell*
09:18:19:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
09:18:24:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
09:18:29:  YOPmail - Google Chrome
09:18:49:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
09:19:54:  selenium click() 执行时机很长_百度搜索 - Google Chrome
09:20:04:  selenium 点击方式_百度搜索 - Google Chrome
09:20:09:  Selenium实现点击click()_XerCis的博客-CSDN博客 - Google Chrome
09:20:14:  (4条消息) Selenium实现点击click()_XerCis的博客-CSDN博客 - Google Chrome
09:20:54:  新建文本文档.exe - 快捷方式
09:20:59:  (4条消息) Selenium实现点击click()_XerCis的博客-CSDN博客 - Google Chrome
09:21:14:  taskeng.exe
09:21:19:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
09:21:39:  费志成
09:21:44:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
09:21:49:  无标题 - Google Chrome
09:21:54:  *Python 3.7.3 Shell*
09:22:09:  Python 3.7.3 Shell
09:22:24:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
09:22:29:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
09:22:34:  Save Before Run or Check
09:22:39:  data:, - Google Chrome
09:22:44:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
09:22:49:  *Python 3.7.3 Shell*
09:23:04:  YOPmail - Google Chrome
09:23:09:  (4条消息) Selenium实现点击click()_XerCis的博客-CSDN博客 - Google Chrome
09:23:14:  YOPmail - Google Chrome
09:23:24:  (4条消息) Selenium实现点击click()_XerCis的博客-CSDN博客 - Google Chrome
09:23:29:  跳转列表
09:23:34:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
09:23:49:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
09:23:54:  data:, - Google Chrome
09:23:59:  www.yopmail.com/zh - Google Chrome
09:24:04:  *Python 3.7.3 Shell*
09:24:09:  Python 3.7.3 Shell
09:24:14:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
09:24:19:  Python 3.7.3 Shell
09:24:24:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
09:24:29:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
09:24:34:  YOPmail - Google Chrome
09:24:54:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
09:24:59:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
09:25:09:  data:, - Google Chrome
09:25:14:  www.yopmail.com/zh - Google Chrome
09:25:19:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
09:25:39:  YOPmail - Google Chrome
09:25:49:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
09:25:54:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
09:26:19:  selenium 点击方式_百度搜索 - Google Chrome
09:26:29:  (4条消息) selenium中click方法点击submit_zz_zss的博客-CSDN博客 - Google Chrome
09:26:59:  selenium 点击方式_百度搜索 - Google Chrome
09:27:09:  selenium自动化_click方法点击无效_园荐_博客园 - Google Chrome
09:27:14:  selenium自动化_click方法点击无效 - 测试一枝花 - 博客园 - Google Chrome
09:27:40:  selenium 点击方式_百度搜索 - Google Chrome
09:27:50:  selenium 不等待加载完成执行下一步_百度搜索 - Google Chrome
09:28:10:  0-工作 - 张开发 - 印象笔记
09:28:15:  Plate.c - trunk - Visual Studio Code [管理员]
09:28:25:  Kill?
09:28:30:  新建文件夹 (3)
09:28:35:  Plate.c - trunk - Visual Studio Code [管理员]
09:28:40:  weiboping.py - trunk - Visual Studio Code [管理员]
09:29:15:  Plate.c - trunk - Visual Studio Code [管理员]
09:29:20:  weiboping.py - trunk - Visual Studio Code [管理员]
09:29:35:  Plate.c - trunk - Visual Studio Code [管理员]
09:29:40:  weiboping.py - trunk - Visual Studio Code [管理员]
09:28:10:  0-工作 - 张开发 - 印象笔记
09:28:15:  Plate.c - trunk - Visual Studio Code [管理员]
09:28:25:  Kill?
09:28:30:  新建文件夹 (3)
09:28:35:  Plate.c - trunk - Visual Studio Code [管理员]
09:28:40:  weiboping.py - trunk - Visual Studio Code [管理员]
09:29:15:  Plate.c - trunk - Visual Studio Code [管理员]
09:29:20:  weiboping.py - trunk - Visual Studio Code [管理员]
09:29:35:  Plate.c - trunk - Visual Studio Code [管理员]
09:29:40:  weiboping.py - trunk - Visual Studio Code [管理员]
09:33:45:  ● weiboping.py - trunk - Visual Studio Code [管理员]
09:33:50:  weiboping.py - trunk - Visual Studio Code [管理员]
09:34:25:  ● weiboping.py - trunk - Visual Studio Code [管理员]
09:34:30:  weiboping.py - trunk - Visual Studio Code [管理员]
09:34:55:  无标题 - Google Chrome
09:35:10:  新建文件夹 (3)
09:35:15:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
09:35:20:  *Python 3.7.3 Shell*
09:35:30:  Track.c - trunk - Visual Studio Code [管理员]
09:35:50:  跳转列表
09:35:55:  新标签页 - Google Chrome
09:36:05:  Possible access of out-of-bounds pointer (1 beyond end of data) by operator '[' [Reference: file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Drivers\PeripheralDriver\Ke06bsp\ftm.c: lines 302, 323] - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:36:10:  项目 - Google Chrome
09:36:15:  FW_BTCR-1100_K06_MAIN%trunk - Google Chrome
09:36:20:  项目总览 - FW_BTCR-1100_K06_MAIN%trunk - Google Chrome
09:36:25:  Issues - FW_BTCR-1100_K06_MAIN%trunk - Google Chrome
09:36:35:  问题 - FW_BTCR-1100_K06_MAIN%trunk - Google Chrome
09:36:40:  non-negative quantity cannot be less than zero - FW_BTCR-1100_K06_MAIN%trunk - Google Chrome
09:36:45:  Python 3.7.3 Shell
09:36:50:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
09:36:55:  weiboping.py - trunk - Visual Studio Code [管理员]
09:37:05:  Track.c - trunk - Visual Studio Code [管理员]
09:37:45:  项目 - Google Chrome
09:37:55:  项目总览 - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:38:00:  Issues - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:38:30:  项目总览 - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:38:35:  Issues - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:40:25:  FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:40:30:  活动 - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:40:35:  Issues - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:40:50:  FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:40:55:  Track.c - trunk - Visual Studio Code [管理员]
09:41:00:  新建文件夹 (3)
09:41:05:  深圳出差
09:41:10:  跳转列表
09:41:20:  CRSTesttool_20201125
09:41:40:  深圳出差
09:41:45:  Project
09:41:50:  μVision
09:41:55:  E:\深圳出差\44\Project\k64_rtt.uvprojx - μVision
09:42:05:  E:\深圳出差\44\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (44) - Sublime Text (UNREGISTERED)
09:42:10:  E:\深圳出差\44\Applications\FlowControl\BV\BvCtrl.c (44) - Sublime Text (UNREGISTERED)
09:42:20:  E:\深圳出差\44\Applications\FlowControl\TrackClear.c (44) - Sublime Text (UNREGISTERED)
09:42:40:  E:\深圳出差\44\Project\k64_rtt.uvprojx - μVision
09:42:45:  44
09:42:50:  E:\深圳出差\44 - 工作副本 - TortoiseSVN
09:43:00:  TrackClear.c - TortoiseMerge
09:43:15:  CashBoxModuleApp.c - TortoiseMerge
09:43:25:  TrackModule.c - TortoiseMerge
09:43:30:  TrackSensor.c - TortoiseMerge
09:43:35:  E:\深圳出差\44 - 工作副本 - TortoiseSVN
09:43:50:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision (未响应)
09:43:55:  µVision IDE
09:44:05:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision (未响应)
09:44:10:  E:\深圳出差\gfgd\Project\k64_rtt.uvprojx - μVision
09:44:15:  D:\00-06\dsdsf\branches\BR-1-CashBox1T2-Press\Project\CashBox_1T2.uvprojx - μVision (未响应)
09:44:25:  µVision IDE
09:44:30:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:44:35:  μVision
09:44:40:  E:\深圳出差\44\Project\k64_rtt.uvprojx - μVision
09:44:45:  44
09:45:00:  打开
09:44:05:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision (未响应)
09:44:10:  E:\深圳出差\gfgd\Project\k64_rtt.uvprojx - μVision
09:44:15:  D:\00-06\dsdsf\branches\BR-1-CashBox1T2-Press\Project\CashBox_1T2.uvprojx - μVision (未响应)
09:44:25:  µVision IDE
09:44:30:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:44:35:  μVision
09:44:40:  E:\深圳出差\44\Project\k64_rtt.uvprojx - μVision
09:44:45:  44
09:45:00:  打开
09:45:20:  CRS调测工具（研发版）V1.0.2.1
09:47:15:  CashRecyclerTool 属性
09:47:20:  TCRControlCmdDLL
09:47:25:  Decode
09:47:35:  K64_12345678_20201126094701.log - [No filter file]* - TextAnalysisTool.NET
09:48:55:  打开
09:49:00:  CRS调测工具（研发版）V1.0.2.1
09:50:45:  eSpace
09:50:50:  于斌1
09:51:00:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
09:51:05:  打开
09:51:10:  K64_12345678_20201126094701.log - [No filter file]* - TextAnalysisTool.NET
09:51:40:  于斌1
09:51:55:  K64_12345678_20201126094701.log - [No filter file]* - TextAnalysisTool.NET
09:52:05:  Add Filter
09:52:15:  K64_12345678_20201126094701.log - [No filter file]* - TextAnalysisTool.NET
09:53:15:  BNE-R1200M_Master_K64_FV1000_FEDADV10_MAIN_T09
09:53:25:  桌面整理
09:53:30:  CRS调测工具（研发版）V1.0.2.1
09:53:35:  打开
09:53:50:  CRS调测工具（研发版）V1.0.2.1
09:54:05:  FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:54:10:  E:\深圳出差\44\Applications\FlowControl\TrackClear.c (44) - Sublime Text (UNREGISTERED)
09:54:15:  CRS调测工具（研发版）V1.0.2.1
09:55:30:  20201126
09:55:35:  Decode
09:55:40:  K64_12345678_20201126095510.log - [No filter file]* - TextAnalysisTool.NET
09:56:15:  深圳出差
09:56:20:  E:\深圳出差\44 - 日志信息 - TortoiseSVN
09:56:25:  E:\深圳出差\44 - 工作副本 - TortoiseSVN
09:56:35:  44
09:56:40:  E:\深圳出差\44 - 日志信息 - TortoiseSVN
09:56:45:  44
09:56:55:  E:\深圳出差\44 - 工作副本 - TortoiseSVN
09:57:00:  μVision
09:57:05:  E:\深圳出差\44\Project\k64_rtt.uvprojx - μVision
09:57:20:  Tools
09:57:25:  CRS调测工具（研发版）V1.0.2.1
09:57:30:  打开
09:57:40:  CRS调测工具（研发版）V1.0.2.1
09:59:30:  20201126
09:59:35:  Decode
09:59:40:  K64_12345678_20201126095911.log - [No filter file]* - TextAnalysisTool.NET
09:59:50:  E:\深圳出差\44\Applications\FlowControl\TrackClear.c (44) - Sublime Text (UNREGISTERED)
10:00:00:  Decode
09:59:30:  20201126
09:59:35:  Decode
09:59:40:  K64_12345678_20201126095911.log - [No filter file]* - TextAnalysisTool.NET
09:59:50:  E:\深圳出差\44\Applications\FlowControl\TrackClear.c (44) - Sublime Text (UNREGISTERED)
10:00:00:  Decode
10:00:10:  K64_12345678_20201126095510.log - [No filter file]* - TextAnalysisTool.NET
10:00:20:  Add Filter
10:00:25:  E:\深圳出差\44\Applications\FlowControl\TrackClear.c (44) - Sublime Text (UNREGISTERED)
10:00:30:  Add Filter
10:00:35:  K64_12345678_20201126095510.log - [No filter file]* - TextAnalysisTool.NET
10:00:40:  E:\深圳出差\44\Applications\FlowControl\TrackClear.c (44) - Sublime Text (UNREGISTERED)
10:00:45:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
10:01:00:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.h (44) - Sublime Text (UNREGISTERED)
10:01:05:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
10:01:55:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.h (44) - Sublime Text (UNREGISTERED)
10:02:05:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
10:02:25:  Add Filter
10:02:30:  K64_12345678_20201126095510.log - [No filter file]* - TextAnalysisTool.NET
10:03:25:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
10:03:30:  E:\深圳出差\44\Applications\FlowControl\BV\BvCtrl.c (44) - Sublime Text (UNREGISTERED)
10:03:40:  E:\深圳出差\44\Applications\FlowControl\TrackClear.c (44) - Sublime Text (UNREGISTERED)
10:03:50:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
10:03:55:  E:\深圳出差\44\Project\build\release\TrackClear.lst (44) - Sublime Text (UNREGISTERED)
10:04:00:  E:\深圳出差\44\Applications\FlowControl\TrackClear.h (44) - Sublime Text (UNREGISTERED)
10:04:05:  E:\深圳出差\44\Applications\ErrorHandle\ErrCode.h (44) - Sublime Text (UNREGISTERED)
10:04:10:  E:\深圳出差\44\Applications\FlowControl\TrackClear.c (44) - Sublime Text (UNREGISTERED)
10:04:30:  44
10:04:35:  E:\深圳出差\44 - 工作副本 - TortoiseSVN
10:04:45:  文件补丁  
10:04:50:  E:\深圳出差\44\Applications\FlowControl\TrackClear.c (44) - Sublime Text (UNREGISTERED)
10:05:00:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
10:05:10:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.h (44) - Sublime Text (UNREGISTERED)
10:05:15:  E:\深圳出差\44 - 工作副本 - TortoiseSVN
10:05:20:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
10:05:50:  E:\深圳出差\44 - 工作副本 - TortoiseSVN
10:05:55:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
10:06:00:  锁屏状态
10:06:05:  E:\深圳出差\44 - 工作副本 - TortoiseSVN
10:06:10:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
10:06:25:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c • (44) - Sublime Text (UNREGISTERED)
10:07:25:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
10:08:05:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.h (44) - Sublime Text (UNREGISTERED)
10:08:10:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
10:08:20:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.h (44) - Sublime Text (UNREGISTERED)
10:08:25:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
10:08:55:  TrackSensor.c - TortoiseMerge
10:09:00:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.h (44) - Sublime Text (UNREGISTERED)
10:09:05:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
10:09:25:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.h (44) - Sublime Text (UNREGISTERED)
10:09:30:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
10:10:00:  桌面整理
10:10:10:  运行
10:10:15:  共享文件
10:10:20:  方案文档
10:10:25:  CRS
10:10:30:  结构图
10:10:40:  CAXA电子图板
10:10:45:  结构图
10:10:50:  请指定形文件txt.shx的位置(取消将使用设置的缺省字体):
10:10:55:  \\192.168.28.3\文件共享\组织共享\技术中心项目组共享\02-识别产品线\06- 刘建生\06 固件日报\共享文件\CRS\结构图\CRS传感器距离.exb - CAXA电子图板2005(企业版)
10:11:20:  \\192.168.28.3\文件共享\组织共享\技术中心项目组共享\02-识别产品线\06- 刘建生\06 固件日报\共享文件\CRS\结构图\布局-传感器-胶辊.exb - CAXA电子图板2005(企业版)
10:11:30:  结构图
10:11:35:  桌面整理
10:11:40:  C:\Users\zhangkaifa\Desktop\固件用TCR整机2D图-20180502.exb - CAXA电子图板2005(企业版)
10:11:50:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
10:12:35:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.h (44) - Sublime Text (UNREGISTERED)
10:12:45:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
10:13:50:  E:\深圳出差\44\Applications\FlowControl\FlowCtrl.c (44) - Sublime Text (UNREGISTERED)
10:15:00:  E:\深圳出差\44\Applications\FlowControl\TrackModule\GateModuleApp.c (44) - Sublime Text (UNREGISTERED)
10:15:00:  E:\深圳出差\44\Applications\FlowControl\TrackModule\GateModuleApp.c (44) - Sublime Text (UNREGISTERED)
10:15:05:  E:\深圳出差\44\Applications\FlowControl\FlowCtrl.c (44) - Sublime Text (UNREGISTERED)
10:15:10:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
10:15:15:  E:\深圳出差\44\Applications\FlowControl\FlowCtrl.c (44) - Sublime Text (UNREGISTERED)
10:15:35:  E:\深圳出差\44\Applications\FlowControl\TrackModule\TrackModule.c (44) - Sublime Text (UNREGISTERED)
10:16:05:  E:\深圳出差\44\Project\k64_rtt.uvprojx - μVision
10:19:40:  E:\深圳出差\44\Tools\CreateJK.exe
10:19:45:  打开
10:19:50:  0-工作 - 张开发 - 印象笔记
10:20:05:  所有笔记本 - 张开发 - 印象笔记
10:20:10:  FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
10:20:15:  CRS调测工具（研发版）V1.0.2.1
10:20:20:  百度一下，你就知道 - Google Chrome
10:20:25:  selenium 超时设置/等待时间过长自动停止（python）_ginynu的博客-CSDN博客 - Google Chrome
10:20:30:  (4条消息) selenium 超时设置/等待时间过长自动停止（python）_ginynu的博客-CSDN博客 - Google Chrome
10:20:40:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
10:20:45:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
10:21:00:  Python 3.7.3 Shell
10:21:05:  无标题 - Google Chrome
10:21:10:  CRS调测工具（研发版）V1.0.2.1
10:21:25:  Python 3.7.3 Shell
10:21:30:  YOPmail - Google Chrome
10:21:35:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
10:21:40:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
10:22:20:  Save Before Run or Check
10:22:25:  data:, - Google Chrome
10:22:30:  www.yopmail.com/zh - Google Chrome
10:22:35:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
10:23:05:  YOPmail - Google Chrome
10:23:10:  Python 3.7.3 Shell
10:23:15:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
10:23:20:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
10:23:40:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
10:23:45:  Python 3.7.3 Shell
10:23:50:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
10:23:55:  Save Before Run or Check
10:24:00:  Python 3.7.3 Shell
10:24:05:  www.yopmail.com/zh - Google Chrome
10:24:10:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
10:24:20:  YOPmail - Google Chrome
10:24:30:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
10:24:40:  无标题 - Google Chrome
10:24:45:  www.yopmail.com/zh - Google Chrome
10:24:50:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
10:24:55:  YOPmail - Google Chrome
10:25:15:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
10:25:20:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
10:25:45:  *Python 3.7.3 Shell*
10:25:50:  www.yopmail.com/zh - Google Chrome
10:25:55:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
10:26:05:  YOPmail - Google Chrome
10:26:15:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
10:27:31:  Decode
10:27:41:  K64_12345678_20201126102115.log - [No filter file]* - TextAnalysisTool.NET
10:27:56:  Edit Filter
10:28:01:  K64_12345678_20201126102115.log - [No filter file]* - TextAnalysisTool.NET
10:28:11:  Decode
10:28:16:  K64_12345678_20201126094927.log - [No filter file]* - TextAnalysisTool.NET
10:28:21:  Decode
10:28:46:  K64_12345678_20201126094612.log - [No filter file] - TextAnalysisTool.NET
10:28:56:  K64_12345678_20201126094612.log - [No filter file]* - TextAnalysisTool.NET
10:29:01:  Add Filter
10:29:06:  K64_12345678_20201126102115.log - [No filter file]* - TextAnalysisTool.NET
10:29:11:  K64_12345678_20201126094612.log - [No filter file]* - TextAnalysisTool.NET
10:30:01:  K64_12345678_20201126102115.log - [No filter file]* - TextAnalysisTool.NET
10:28:11:  Decode
10:28:16:  K64_12345678_20201126094927.log - [No filter file]* - TextAnalysisTool.NET
10:28:21:  Decode
10:28:46:  K64_12345678_20201126094612.log - [No filter file] - TextAnalysisTool.NET
10:28:56:  K64_12345678_20201126094612.log - [No filter file]* - TextAnalysisTool.NET
10:29:01:  Add Filter
10:29:06:  K64_12345678_20201126102115.log - [No filter file]* - TextAnalysisTool.NET
10:29:11:  K64_12345678_20201126094612.log - [No filter file]* - TextAnalysisTool.NET
10:30:01:  K64_12345678_20201126102115.log - [No filter file]* - TextAnalysisTool.NET
10:30:06:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
10:30:11:  data:, - Google Chrome
10:30:16:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
10:30:21:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
10:30:36:  YOPmail - Google Chrome
10:31:21:  Kill?
10:31:26:  无标题 - Google Chrome
10:31:31:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
10:31:46:  YOPmail - Google Chrome
10:32:36:  所有笔记本 - 张开发 - 印象笔记
10:32:51:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
10:33:01:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
10:33:16:  YOPmail - Google Chrome
10:33:21:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
10:34:31:  无标题 - Google Chrome
10:34:36:  [No file loaded] - [No filter file] - TextAnalysisTool.NET
10:34:41:  Decode
10:34:46:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
10:34:51:  Add Filter
10:34:56:  K64_12345678_20201126094612.log - [No filter file]* - TextAnalysisTool.NET
10:35:01:  YOPmail - Google Chrome
10:35:06:  K64_12345678_20201126094612.log - [No filter file]* - TextAnalysisTool.NET
10:35:11:  跳转列表
10:35:16:  data:, - Google Chrome
10:35:21:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
10:35:31:  K64_12345678_20201126094612.log - [No filter file]* - TextAnalysisTool.NET
10:35:51:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
10:35:56:  K64_12345678_20201126094612.log - [No filter file]* - TextAnalysisTool.NET
10:38:21:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
10:38:26:  YOPmail - Google Chrome
10:38:51:  K64_12345678_20201126094612.log - [No filter file]* - TextAnalysisTool.NET
10:38:56:  E:\深圳出差\44 - 工作副本 - TortoiseSVN
10:39:01:  (4条消息) selenium 超时设置/等待时间过长自动停止（python）_ginynu的博客-CSDN博客 - Google Chrome
10:39:11:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
10:39:16:  新标签页 - Google Chrome
10:39:21:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
10:39:26:  YOPmail - Google Chrome
10:39:31:  K64_12345678_20201126094612.log - [No filter file]* - TextAnalysisTool.NET
10:39:41:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
10:39:51:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
10:39:56:  *Python 3.7.3 Shell*
10:40:01:  data:, - Google Chrome
10:40:06:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
10:40:16:  YOPmail - Google Chrome
10:40:41:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
10:41:06:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
10:41:11:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
10:41:16:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
10:41:26:  YOPmail - Google Chrome
10:42:11:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
