08:08:49:  新建文本文档.exe - 快捷方式
10:00:40:  D:\00-06\8\branches\BR-1-CashBox1T2\Drivers\SensorDriver\SensorDriver.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:00:45:  TCR调测工具 V3.07
10:01:30:  D:\00-06\8\branches\BR-1-CashBox1T2\Drivers\SensorDriver\SensorDriver.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:01:35:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:01:50:  
10:01:55:  BTCRTestTool V3.07
10:02:00:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:02:05:  TCR调测工具 V3.07
10:06:25:  
10:06:30:  TCR调测工具（研发版）V3.41
10:06:35:  钞箱配置
10:06:45:  TCR调测工具（研发版）V3.41
10:06:50:  BTCRTestTool V3.41
10:06:55:  CODE-INFORMATION
10:07:00:  BTCRTestTool V3.07
10:07:05:  
10:07:10:  TCR调测工具 V3.07
10:07:45:  
10:07:50:  LogExpert - C:\Users\zhangkaifa\Documents\TheActtionRec\Log\2020-03-04.txt
10:07:55:  LogExpert - C:\Users\zhangkaifa\Documents\TheActtionRec\W\2020-03-04.txt
10:08:00:  
10:08:05:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Instruction\InstrExecute.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:08:10:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:08:20:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\StepMotor\StepMotorConfig.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:08:25:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:08:30:  TCR调测工具 V3.07
10:09:55:  「开始」菜单
10:10:00:  06 固件日报
10:10:05:  正在打开 - Excel
10:10:10:  错误码
10:10:15:  ErrCode_list_excel_flg.xls  [受保护的视图] - Excel
10:10:20:  查找和替换
10:10:30:  
10:10:35:  错误码
10:10:40:  TCR调测工具 V3.07
10:10:45:  查找
10:10:55:  TCR调测工具 V3.07
10:11:05:  查找
10:11:10:  记事本
10:11:15:  查找
10:11:20:  TCR调测工具 V3.07
10:11:30:  计算器
10:11:35:  TCR调测工具 V3.07
10:12:45:  BTCRTestTool V3.07
10:12:50:  log
10:13:05:  20200304
10:13:10:  无标题 - 记事本
10:13:15:  20200304
10:13:25:  FirmLog__20200304101211.log - [No filter file] - TextAnalysisTool.NET
10:13:30:  Decode
10:13:40:  FirmLog__20200304101211 - 写邮件
10:13:45:  
10:13:50:  TCR调测工具 V3.07
10:14:20:  BTCRTestTool
10:14:25:  TCR调测工具 V3.07
10:15:00:  BTCRTestTool
10:15:15:  TCR调测工具 V3.07
10:15:25:  查找
10:15:30:  ErrCode_list_txt_flg.txt - 记事本
10:15:40:  
10:15:45:  Decode
10:15:50:  TCR调测工具 V3.07
10:15:55:  Decode
10:16:00:  20200304
10:16:05:  C:\Users\zhangkaifa\Documents\TcrFirmwareLogDecode.exe
10:16:10:  Decode
10:16:20:  LogExpert - C:\Users\zhangkaifa\Documents\TheActtionRec\W\2020-03-04.txt
10:16:25:  LogExpert - E:\新建文件夹(4)\CODE-INFORMATION\00-TCR-information\测试\测试\BTCRTestTool V3.07\log\TCRControlCmdDLL\20200304\Decode\FirmLog__20200304101452.log
10:18:45:  桌面
10:18:50:  
10:18:55:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:19:15:  TCR调测工具 V3.07
10:19:20:  查找
10:19:25:  ErrCode_list_txt_flg.txt - 记事本
10:19:30:  查找
10:19:40:  ErrCode_list_txt_flg.txt - 记事本
10:19:45:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:19:50:  
10:20:00:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:20:30:  TCR调测工具 V3.07
10:20:35:  错误码
10:20:40:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:20:45:  LogExpert - C:\Users\zhangkaifa\Documents\TheActtionRec\Log\2020-03-04.txt
10:20:50:  LogExpert - E:\新建文件夹(4)\CODE-INFORMATION\00-TCR-information\测试\测试\BTCRTestTool V3.07\log\TCRControlCmdDLL\20200304\Decode\FirmLog__20200304101452.log
10:20:55:  
10:21:05:  视频
10:21:10:  文档
10:21:15:  W
10:21:20:  LogExpert - C:\Users\zhangkaifa\Documents\TheActtionRec\W\2020-03-04.txt
10:21:35:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:22:15:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:22:30:  EXTFEDU6V11.pdf - Adobe Reader
10:23:35:  
10:23:40:  W
10:23:45:  桌面
10:23:50:  新建文件夹
10:23:55:  桌面
10:24:00:  42 CRS现金循环模块
10:24:05:  钞箱1T2集成测试方案
10:24:10:  Windows Installer
10:24:15:  5.21 NFC测试V1.0.xls  [受保护的视图] - Excel
10:25:10:  钞箱1T2集成测试方案
10:25:20:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:25:25:  集成测试
10:25:40:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:25:45:  固件集成测试方案
10:25:50:  Microsoft Visual Studio Team System 2008 Team Suite - CHS
10:25:55:  5.21 NFC测试V1.0.xls  [受保护的视图] - Excel
10:26:00:  5.21 NFC测试V1.0.xls  [兼容模式] - Excel
10:26:25:  
10:26:30:  EXTFEDU6V11.pdf - Adobe Reader
10:26:50:  本地磁盘 (E:)
10:26:55:  新建文件夹 (3)
10:27:00:  新建文件夹 (4)
10:27:15:  正常
10:27:20:  Windows 照片查看器
10:27:25:  新建文件夹
10:27:30:  5.21 NFC测试V1.0.xls  [兼容模式] - Excel
10:28:00:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:28:05:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Nfc\Nfc.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:28:20:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:28:35:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Nfc\Nfc.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:28:50:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Instruction\InstrExecute.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:28:55:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:29:00:  
10:29:05:  新建文件夹
10:29:10:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:29:25:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:29:30:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:29:50:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:29:55:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:28:05:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Nfc\Nfc.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:28:20:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:28:35:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Nfc\Nfc.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:28:50:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Instruction\InstrExecute.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:28:55:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:29:00:  
10:29:05:  新建文件夹
10:29:10:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:29:25:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:29:30:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:29:50:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:29:55:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:30:15:  
10:30:25:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:30:30:  
10:30:35:  D:\00-KE64\6\trunk\Applications\Initialization\Initial.h (trunk) - Sublime Text (UNREGISTERED)
10:30:40:  D:\00-KE64\6\trunk\Applications\FlowControl\TrackModule\GateModule.c (trunk) - Sublime Text (UNREGISTERED)
10:30:50:  D:\00-KE64\6\trunk\Applications\FlowControl\TrackModule\GateModule.c • (trunk) - Sublime Text (UNREGISTERED)
10:31:00:  D:\00-KE64\6\trunk\Applications\FlowControl\TrackModule\GateModule.h (trunk) - Sublime Text (UNREGISTERED)
10:31:05:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (trunk) - Sublime Text (UNREGISTERED)
10:31:10:  D:\00-KE64\6\trunk\Applications\FlowControl\TrackModule\GateModule.c • (trunk) - Sublime Text (UNREGISTERED)
10:31:40:  D:\00-KE64\6\trunk\Applications\FlowControl\TrackModule\GateModule.c (trunk) - Sublime Text (UNREGISTERED)
10:32:10:  TCR调测工具 V3.07
10:32:20:  00-KE64
10:32:25:  trunk
10:32:30:  D:\00-KE64\6\trunk\Applications\FlowControl\TrackModule\GateModule.c (trunk) - Sublime Text (UNREGISTERED)
10:32:35:  D:\00-KE64\6\trunk\Applications\Update\Update.c (trunk) - Sublime Text (UNREGISTERED)
10:32:40:  D:\00-KE64\6\trunk\Applications\Initialization\Initial.h (trunk) - Sublime Text (UNREGISTERED)
10:32:45:  TCR调测工具 V3.07
10:33:05:  BTCRTestTool
10:33:25:  TCR调测工具 V3.07
10:33:30:  SECSplashWnd
10:33:35:  
10:33:40:  D:\00-KE64\6\trunk\Project\k64_rtt.uvprojx - μVision
10:33:55:  D:\00-KE64\6\trunk\Applications\Initialization\Initial.h (trunk) - Sublime Text (UNREGISTERED)
10:34:00:  D:\00-KE64\6\trunk\Project\k64_rtt.uvprojx - μVision
10:34:05:  D:\00-KE64\6\trunk\Applications\Initialization\Initial.h (trunk) - Sublime Text (UNREGISTERED)
10:34:10:  D:\00-KE64\6\trunk\Applications\FlowControl\TrackModule\GateModule.c (trunk) - Sublime Text (UNREGISTERED)
10:34:15:  D:\00-KE64\6\trunk\Project\k64_rtt.uvprojx - μVision
10:34:30:  TCR调测工具 V3.07
10:34:40:  BTCRTestTool
10:34:45:  TCR调测工具 V3.07
10:35:15:  BTCRTestTool
10:35:20:  TCR调测工具 V3.07
10:35:25:  BTCRTestTool
10:35:35:  D:\00-KE64\6\trunk\Project\k64_rtt.uvprojx - μVision
10:36:05:  
10:36:20:  跳转列表
10:36:25:  Project
10:36:30:  
10:36:35:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:37:00:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:37:20:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:37:25:  00-KE64
10:37:30:  8
10:37:35:  μVision
10:37:40:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
10:38:00:  
10:38:05:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
10:44:10:  
10:44:15:  D:\00-KE64\6\trunk\Applications\FlowControl\TrackModule\GateModule.c (trunk) - Sublime Text (UNREGISTERED)
10:44:30:  D:\00-KE64\6\trunk\Applications\FlowControl\FlowControl.c (trunk) - Sublime Text (UNREGISTERED)
10:45:10:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
10:46:16:  BR-1-CashBox1T2
10:46:21:  SECSplashWnd
10:46:26:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
10:46:41:  Project
10:46:46:  更新 完成！
10:46:51:  BR-1-CashBox1T2
10:46:56:  D:\00-06\8\branches\BR-1-CashBox1T2 - 更新 - TortoiseSVN
10:47:01:  D:\00-06\8\branches\BR-1-CashBox1T2 - 工作副本 - TortoiseSVN
10:47:06:  InstrExecute.c-revBASE.svn001.tmp.c <--> InstrExecute.c - 文本比较(T) - Beyond Compare
10:47:11:  State.c-revBASE.svn001.tmp.c <--> State.c - 文本比较(T) - Beyond Compare
10:47:16:  Track.c-revBASE.svn001.tmp.c <--> Track.c - 文本比较(T) - Beyond Compare
10:47:21:  SensorDriver.h-revBASE.svn001.tmp.h <--> SensorDriver.h - 文本比较(T) - Beyond Compare
10:47:26:  DebugConfig.h-revBASE.svn001.tmp.h <--> DebugConfig.h - 文本比较(T) - Beyond Compare
10:47:36:  Selector.c-revBASE.svn001.tmp.c <--> Selector.c - 文本比较(T) - Beyond Compare
10:47:51:  Sensor.c-revBASE.svn001.tmp.c <--> Sensor.c - 文本比较(T) - Beyond Compare
10:47:56:  BR-1-CashBox1T2
10:48:06:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
10:50:36:  
10:51:16:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
10:51:51:  ARM Development Tools
10:51:56:  
10:52:01:  μVision
10:52:06:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
10:54:41:  Build Output
10:54:46:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
10:54:56:  
10:55:01:  Browse for Folder
10:55:06:  Options for Target 'CashBox_1T2_Debug'
10:55:31:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
10:55:36:  Options for Target 'CashBox_1T2'
10:55:41:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
10:57:01:  
10:57:06:  新标签页 - Google Chrome
10:57:11:  班车管理系统 - Google Chrome
10:57:16:  班车管理系统 [新北洋集团] - Google Chrome
10:57:26:  Project
10:57:46:  本地磁盘 (D:)
10:58:01:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
10:58:26:  本地磁盘 (D:)
10:58:36:  文档
10:58:56:  F.*?.pdf - Everything
10:59:01:  postwor - Everything
10:59:06:  postwork
10:59:16:  PostWork.PY - F:\01-软件\postwork\PostWork.PY (3.7.3)
10:59:26:  postwor - Everything
10:59:31:  PostWork
10:59:41:  2019-10-28 07-59-20
10:58:26:  本地磁盘 (D:)
10:58:36:  文档
10:58:56:  F.*?.pdf - Everything
10:59:01:  postwor - Everything
10:59:06:  postwork
10:59:16:  PostWork.PY - F:\01-软件\postwork\PostWork.PY (3.7.3)
10:59:26:  postwor - Everything
10:59:31:  PostWork
10:59:41:  2019-10-28 07-59-20
11:04:46:  变幻线
11:10:01:  2019-10-28 07-59-20
11:10:06:  postwork
11:10:11:  PostWork.PY - F:\01-软件\postwork\PostWork.PY (3.7.3)
11:10:16:  postwor - Everything
11:10:21:  tesseract - Everything
11:10:36:  postwork
11:10:41:  eSpace
11:10:46:  
11:10:51:  本地磁盘 (D:)
11:10:56:  于斌1
11:11:06:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
11:11:11:  Options for Target 'CashBox_1T2_Debug'
11:11:16:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
11:11:46:  μVision
11:11:56:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
11:12:41:  本地磁盘 (D:)
11:12:46:  12
11:12:51:  检出
11:13:01:  BR-1-CashBox1T2 - 检出 - TortoiseSVN
11:13:16:  Project
11:13:21:  D:\00-06\12\Project\CashBox_1T2.uvprojx - μVision
11:13:36:  
11:13:46:  文档
11:13:51:  W
11:13:56:  LogExpert - C:\Users\zhangkaifa\Documents\TheActtionRec\W\2020-03-04.txt
11:14:01:  D:\00-06\12\Project\CashBox_1T2.uvprojx - μVision
11:14:06:  
11:14:16:  另存为
11:14:21:  D:\00-06\12\Project\CashBox_1T2.uvprojx - μVision
13:21:39:  TCR调测工具 V3.07
13:22:29:  库
13:22:34:  TCR调测工具 V3.07
13:24:29:  TCR调测工具 V3.36
13:24:34:  取款
13:24:39:  TCR调测工具 V3.36
13:25:24:  LogExpert - C:\Users\zhangkaifa\Documents\TheActtionRec\W\2020-03-04.txt
13:25:29:  TCR调测工具 V3.36
13:26:39:  取款
13:26:44:  TCR调测工具 V3.36
13:26:49:  新标签页 - Google Chrome
13:27:04:  www.baidu.com - Google Chrome
13:27:09:  TCR调测工具 V3.36
13:27:14:  打开
13:27:19:  百度一下，你就知道 - Google Chrome
13:27:34:  python 打包_百度搜索 - Google Chrome
13:27:39:  Python常用的两种打包exe的方法_Python_景兄弟的博客-CSDN博客 - Google Chrome
13:27:59:  python打包exe_百度搜索 - Google Chrome
13:28:09:  python 程序 可以安装_百度搜索 - Google Chrome
13:28:19:  python 写的程序 安装_百度搜索 - Google Chrome
13:28:29:  python 打包 安装_百度搜索 - Google Chrome
13:28:34:  Python打包自己的库并安装_Python_weixin_43368807的博客-CSDN博客 - Google Chrome
13:28:39:  python 打包 安装_百度搜索 - Google Chrome
13:28:49:  python 打包_百度搜索 - Google Chrome
13:28:54:  TCR调测工具 V3.36
13:28:59:  Python导出exe打包之吐血总结 - 简书 - Google Chrome
13:29:19:  TCR调测工具 V3.36
13:29:24:  库
13:29:39:  Options for Target 'CashBox_1T2_Debug'
13:29:49:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
13:29:54:  跳转列表
13:29:59:  TCRControlCmdDLL
13:30:04:  20200304
13:28:09:  python 程序 可以安装_百度搜索 - Google Chrome
13:28:19:  python 写的程序 安装_百度搜索 - Google Chrome
13:28:29:  python 打包 安装_百度搜索 - Google Chrome
13:28:34:  Python打包自己的库并安装_Python_weixin_43368807的博客-CSDN博客 - Google Chrome
13:28:39:  python 打包 安装_百度搜索 - Google Chrome
13:28:49:  python 打包_百度搜索 - Google Chrome
13:28:54:  TCR调测工具 V3.36
13:28:59:  Python导出exe打包之吐血总结 - 简书 - Google Chrome
13:29:19:  TCR调测工具 V3.36
13:29:24:  库
13:29:39:  Options for Target 'CashBox_1T2_Debug'
13:29:49:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
13:29:54:  跳转列表
13:29:59:  TCRControlCmdDLL
13:30:04:  20200304
13:30:16:  [No file loaded] - [No filter file] - TextAnalysisTool.NET
13:30:21:  Decode
13:30:41:  K64_0000_20200304132856
13:30:46:  Box_1__0000_20200304132856.log - [No filter file] - TextAnalysisTool.NET
13:31:26:  Add Filter
13:31:36:  Box_1__0000_20200304132856.log - [No filter file]* - TextAnalysisTool.NET
13:31:51:  Add Filter
13:31:56:  Box_1__0000_20200304132856.log - [No filter file]* - TextAnalysisTool.NET
13:32:16:  TCR调测工具 V3.36
13:33:36:  Python导出exe打包之吐血总结 - 简书 - Google Chrome
13:34:36:  TCR调测工具 V3.36
13:34:51:  TCR调测工具 V3.07
13:35:01:  Python导出exe打包之吐血总结 - 简书 - Google Chrome
13:35:26:  TCR调测工具 V3.07
13:35:36:  Python导出exe打包之吐血总结 - 简书 - Google Chrome
13:37:06:  TCR调测工具 V3.07
13:37:16:  Python导出exe打包之吐血总结 - 简书 - Google Chrome
13:37:21:  锁屏状态
13:37:26:  Python导出exe打包之吐血总结 - 简书 - Google Chrome
13:37:31:  本地磁盘 (D:)
13:37:46:  文档
13:38:01:  PostWork.py - C:\Users\zhangkaifa\Documents\PostWork.py (3.7.3)
13:38:06:  删除多个项目
13:38:11:  管理员: C:\Windows\system32\cmd.exe
13:38:16:  本地磁盘 (D:)
13:38:21:  00-06
13:38:26:  文件检测python
13:38:31:  管理员: C:\Windows\system32\cmd.exe
13:38:51:  管理员: C:\Windows\system32\cmd.exe - pyinstaller  -D -d PostWork.py
13:38:56:  管理员: C:\Windows\system32\cmd.exe
13:39:11:  管理员: C:\Windows\system32\cmd.exe - pyinstaller  -D  PostWork.py
13:39:21:  TCR调测工具 V3.07
13:39:26:  V1.003
13:39:31:  TCR调测工具 V3.36
13:39:36:  取款
13:39:41:  管理员: C:\Windows\system32\cmd.exe - pyinstaller  -D  PostWork.py
13:40:36:  TCR调测工具 V3.36
13:40:46:  取款
13:40:51:  TCR调测工具 V3.36
13:40:56:  Python导出exe打包之吐血总结 - 简书 - Google Chrome
13:41:01:  python 打包_百度搜索 - Google Chrome
13:41:11:  管理员: C:\Windows\system32\cmd.exe - pyinstaller  -D  PostWork.py
13:41:26:  TCR调测工具 V3.36
13:41:31:  管理员: C:\Windows\system32\cmd.exe - pyinstaller  -D  PostWork.py
13:41:36:  管理员: C:\Windows\system32\cmd.exe
13:41:41:  TCR调测工具 V3.36
13:41:46:  TCR调测工具 V3.07
13:41:56:  新建文件夹 (2)
13:42:06:  PostWork
13:42:16:  PostWork 属性
13:42:21:  PostWork
13:43:26:  dist
13:43:31:  TCR调测工具 V3.07
13:43:36:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
13:43:41:  新建文件夹 (2)
13:43:56:  TCR调测工具 V3.07
13:44:16:  Python项目打包发布方法_Python_chenzhanhai的专栏-CSDN博客 - Google Chrome
13:45:31:  TCR调测工具 V3.07
13:45:56:  Python项目打包发布方法_Python_chenzhanhai的专栏-CSDN博客 - Google Chrome
13:46:16:  新建文件夹 (2)
13:46:21:  PostWork
13:46:56:  Python项目打包发布方法_Python_chenzhanhai的专栏-CSDN博客 - Google Chrome
13:47:31:  PostWork
13:47:56:  TCR调测工具 V3.07
13:48:51:  BTCRTestTool V3.07
13:48:56:  20200304
13:49:16:  Box_1__0000_20200304132856.log - [No filter file]* - TextAnalysisTool.NET
13:49:21:  LOG
13:49:31:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
13:49:36:  Decode
13:49:46:  删除文件夹
13:49:51:  Decode
13:50:06:  Box_1__0000_20200304132856.log - [No filter file]* - TextAnalysisTool.NET
13:50:11:  Box_1_FirmLog__20200304134551-20200304134759.log - [No filter file]* - TextAnalysisTool.NET
13:50:26:  FirmLog__20200304134759
13:50:31:  Box_1_FirmLog__20200304134551-20200304134759.log - [No filter file]* - TextAnalysisTool.NET
13:50:36:  Box_1_FirmLog__20200304134759.log - [No filter file]* - TextAnalysisTool.NET
13:51:16:  TCR GD平台SVN
13:51:51:  Box_1_FirmLog__20200304134759.log - [No filter file]* - TextAnalysisTool.NET
13:51:56:  TCR调测工具 V3.07
13:52:06:  本地磁盘 (D:)
13:52:11:  06 固件日报
13:52:16:  错误码
13:52:21:  正在打开 - Excel
13:52:26:  TCR错误码表-20190718.xlsx  [受保护的视图] - Excel
13:53:06:  Python项目打包发布方法_Python_chenzhanhai的专栏-CSDN博客 - Google Chrome
13:53:11:  Box_1_FirmLog__20200304134759.log - [No filter file]* - TextAnalysisTool.NET
13:53:46:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\PlateCtrl\LowerPlateCtrl.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
13:53:51:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\PlateCtrl\PlateCtrl.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
13:53:56:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\PlateCtrl\LowerPlateCtrl.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
13:54:01:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Plate\LowerPlate.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
13:54:16:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\ErrCode\ErrCode.h (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
13:54:26:  锁屏状态
13:54:31:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\ErrCode\ErrCode.h (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
13:54:36:  计算器
13:54:46:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\ErrCode\ErrCode.h (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
13:54:56:  TCR错误码表-20190718.xlsx  [受保护的视图] - Excel
13:55:16:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\ErrCode\ErrCode.h (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
13:55:21:  选择文件夹
13:55:26:  untitled (trunk) - Sublime Text (UNREGISTERED)
13:55:31:  TCR错误码表-20190718.xlsx  [受保护的视图] - Excel
13:55:36:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\ErrCode\ErrCode.h (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
13:55:41:  untitled (trunk) - Sublime Text (UNREGISTERED)
13:55:46:  D:\00-06\Thespace\trunk\Applications\ErrCode\ErrCode.h (trunk) - Sublime Text (UNREGISTERED)
13:55:51:  D:\00-06\Thespace\trunk\Applications\PlateCtrl\PlateCtrl.c (trunk) - Sublime Text (UNREGISTERED)
13:56:01:  D:\00-06\Thespace\trunk\Middlewares\Plate\Plate.c (trunk) - Sublime Text (UNREGISTERED)
13:56:11:  D:\00-06\Thespace\trunk\Applications\PlateCtrl\PlateCtrl.c (trunk) - Sublime Text (UNREGISTERED)
13:56:16:  D:\00-06\Thespace\trunk\Middlewares\Plate\Plate.c (trunk) - Sublime Text (UNREGISTERED)
